Time,TargetX0,CurrentX0,VelX0,ErrorX0,PIDOutX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,VelY0,ErrorY0,PIDOutY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,VelX1,ErrorX1,PIDOutX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,VelY1,ErrorY1,PIDOutY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,VelX2,ErrorX2,PIDOutX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,VelY2,ErrorY2,PIDOutY2,PTermY2,ITermY2,DTermY2
0,5,-1.9755,0.49,6.9755,10,10.5,0.0175,0,7.3094,0.0245,0.49,7.2849,10,10.9641,0.0182735,0,3,0.0110434,0.220868,2.98896,4.5075,4.5,0.0075,0,3.8453,0.014155,0.283101,3.83114,5.77756,5.76795,0.00961325,0,7,2.01841,0.368113,4.98159,7.5125,7.5,0.0125,0,3.8453,0.014155,0.283101,3.83114,5.77756,5.76795,0.00961325,0
0.05,5,-1.92721,0.965799,6.92721,9.91019,10.4633,0.0349388,-0.588,7.3094,0.07301,0.9702,7.23639,10,10.9274,0.0364858,-0.588,3,0.0322376,0.423885,2.96776,4.23337,4.48343,0.0149724,-0.265041,3.8453,0.0413211,0.543322,3.80398,5.42619,5.74672,0.0191911,-0.339721,7,2.05373,0.706475,4.94627,7.05561,7.47239,0.024954,-0.441735,3.8453,0.0413211,0.543322,3.80398,5.42619,5.74672,0.0191911,-0.339721
0.1,5,-1.85714,1.4014,6.85714,9.28411,10.3908,0.0522568,-1.15896,7.3094,0.144425,1.4283,7.16498,9.74492,10.8546,0.0545767,-1.16424,3,0.0627232,0.609711,2.93728,3.96537,4.45164,0.0223918,-0.508662,3.8453,0.0803965,0.781507,3.7649,5.08268,5.70597,0.0287011,-0.651986,7,2.10454,1.01618,4.89546,6.60896,7.41941,0.0373197,-0.84777,3.8453,0.0803965,0.781507,3.7649,5.08268,5.70597,0.0287011,-0.651986
0.15,5,-1.76722,1.79837,6.76722,8.67342,10.2857,0.0693996,-1.68169,7.3094,0.236721,1.84593,7.07268,9.106,10.7475,0.0724892,-1.71396,3,0.101674,0.779012,2.89833,3.704,4.40592,0.029735,-0.731653,3.8453,0.130322,0.998512,3.71498,4.74766,5.64735,0.0381133,-0.937808,7,2.16946,1.29835,4.83054,6.17333,7.34319,0.0495583,-1.21942,3.8453,0.130322,0.998512,3.71498,4.74766,5.64735,0.0381133,-0.937808
0.2,5,-1.65931,2.15828,6.65931,8.0791,10.1508,0.0863177,-2.15805,7.3094,0.347957,2.22473,6.96144,8.48408,10.609,0.0901709,-2.21511,3,0.148297,0.932465,2.8517,3.44966,4.34749,0.0369808,-0.934815,3.8453,0.190082,1.1952,3.65522,4.42165,5.57247,0.0474008,-1.19821,7,2.24716,1.55411,4.75284,5.74943,7.24582,0.0616347,-1.55802,3.8453,0.190082,1.1952,3.65522,4.42165,5.57247,0.0474008,-1.19821
0.25,5,-1.53517,2.48271,6.53517,7.50199,9.98896,0.102966,-2.58994,7.3094,0.476275,2.56636,6.83313,7.88007,10.4422,0.107574,-2.66967,3,0.201834,1.07075,2.79817,3.20271,4.27755,0.0441101,-1.11896,3.8453,0.258705,1.37245,3.58659,4.10512,5.48283,0.0565388,-1.43424,7,2.33639,1.78458,4.66361,5.33784,7.12926,0.0735168,-1.86493,3.8453,0.258705,1.37245,3.58659,4.10512,5.48283,0.0565388,-1.43424
0.3,5,-1.39651,2.77326,6.39651,6.9428,9.80276,0.119304,-2.97926,7.3094,0.619899,2.87247,6.6895,7.29472,10.2497,0.124657,-3.07963,3,0.261562,1.19454,2.73844,2.96346,4.19725,0.0511055,-1.2849,3.8453,0.335261,1.53113,3.51004,3.79846,5.37989,0.0655053,-1.64694,7,2.43594,1.9909,4.56406,4.93909,6.99541,0.0851758,-2.1415,3.8453,0.335261,1.53113,3.51004,3.79846,5.37989,0.0655053,-1.64694
0.35,5,-1.24493,3.0315,6.24493,6.40215,9.59476,0.135295,-3.32791,7.3094,0.777135,3.14473,6.53227,6.72867,10.0343,0.141381,-3.44696,3,0.326788,1.30453,2.67321,2.73216,4.10766,0.0579516,-1.43345,3.8453,0.418866,1.6721,3.42643,3.50199,5.26506,0.0742804,-1.83735,7,2.54465,2.17421,4.45535,4.5536,6.8461,0.096586,-2.38909,3.8453,0.418866,1.6721,3.42643,3.50199,5.26506,0.0742804,-1.83735
0.4,5,-1.08198,3.25901,6.08198,5.88051,9.3674,0.150907,-3.6378,7.3094,0.946373,3.38477,6.36303,6.18244,9.7984,0.157712,-3.77367,3,0.396857,1.40138,2.60314,2.50902,4.00982,0.0646346,-1.56543,3.8453,0.508678,1.79624,3.33662,3.21598,5.13965,0.0828465,-2.00652,7,2.66143,2.33563,4.33857,4.1817,6.68303,0.107724,-2.60906,3.8453,0.508678,1.79624,3.33662,3.21598,5.13965,0.0828465,-2.00652
0.45,5,-0.909114,3.45737,5.90911,5.37827,9.12297,0.166112,-3.91082,7.3094,1.12609,3.59424,6.18332,5.65644,9.54454,0.173619,-4.06172,3,0.471145,1.48577,2.52885,2.2942,3.90471,0.0711425,-1.68165,3.8453,0.603898,1.90441,3.2414,2.94063,5.00493,0.091188,-2.15549,7,2.78524,2.47628,4.21476,3.82367,6.50786,0.118571,-2.80276,3.8453,0.603898,1.90441,3.2414,2.94063,5.00493,0.091188,-2.15549
