Time,TargetX,CurrentX,VelocityX,ErrorX,PID_OutX
0,10,0.02475,0.495,9.97525,10
0.05,10,0.0740025,0.98505,9.926,10
0.1,10,0.147512,1.4702,9.85249,10
0.15,10,0.245037,1.9505,9.75496,10
0.2,10,0.366337,2.42599,9.63366,10
0.25,10,0.511174,2.89673,9.48883,10
0.3,10,0.679312,3.36277,9.32069,10
0.35,10,0.870519,3.82414,9.12948,10
0.4,10,1.08456,4.2809,8.91544,10
0.45,10,1.32122,4.73309,8.67878,10
0.5,10,1.58026,5.18076,8.41974,10
0.55,10,1.86145,5.62395,8.13855,10
0.6,10,2.16459,6.06271,7.83541,10
0.65,10,2.48944,6.49708,7.51056,10
0.7,10,2.8358,6.92711,7.1642,10
0.75,10,3.20344,7.35284,6.79656,10
0.8,10,3.59216,7.77431,6.40784,10
0.85,10,4.00102,8.17738,5.99898,9.71327
0.9,10,4.4274,8.52744,5.5726,8.724
0.95,10,4.86862,8.82451,5.13138,7.72409
1,10,5.32206,9.06884,4.67794,6.71876
1.05,10,5.78511,9.26095,4.21489,5.7131
1.1,10,6.25519,9.40159,3.74481,4.71202
1.15,10,6.72978,9.49172,3.27022,3.72027
1.2,10,7.20641,9.53255,2.79359,2.74238
1.25,10,7.68268,9.52547,2.31732,1.78268
1.3,10,8.15628,9.47206,1.84372,0.845257
1.35,10,8.62499,9.37407,1.37501,-0.0660224
1.4,10,9.08666,9.23342,0.913344,-0.94756
1.45,10,9.53927,9.05219,0.460734,-1.79601
1.5,10,9.98089,8.83255,0.0191068,-2.60831
1.55,10,10.4097,8.57684,-0.409735,-3.38165
1.6,10,10.8241,8.28745,-0.824107,-4.11353
1.65,10,11.2225,7.96689,-1.22245,-4.8017
1.7,10,11.6033,7.61773,-1.60334,-5.44422
1.75,10,11.9655,7.2426,-1.96547,-6.03943
1.8,10,12.3077,6.84417,-2.30768,-6.58595
1.85,10,12.6289,6.42514,-2.62893,-7.08269
1.9,10,12.9283,5.98821,-2.92834,-7.52884
1.95,10,13.2051,5.5361,-3.20515,-7.92383
2,10,13.4587,5.0715,-3.45872,-8.26741
2.05,10,13.6886,4.59709,-3.68858,-8.55956
2.1,10,13.8944,4.11549,-3.89435,-8.8005
2.15,10,14.0758,3.62929,-4.07582,-8.99073
2.2,10,14.2329,3.14102,-4.23287,-9.13094
2.25,10,14.3655,2.65312,-4.36552,-9.22206
2.3,10,14.4739,2.16796,-4.47392,-9.26525
2.35,10,14.5583,1.68782,-4.55831,-9.26184
2.4,10,14.6191,1.21488,-4.61906,-9.21334
2.45,10,14.6566,0.751216,-4.65662,-9.12145
2.5,10,14.6716,0.298797,-4.67156,-8.98803
2.55,10,14.6645,-0.140536,-4.66453,-8.81506
2.6,10,14.6363,-0.565062,-4.63628,-8.60466
2.65,10,14.5876,-0.973185,-4.58762,-8.35907
2.7,10,14.5194,-1.36344,-4.51945,-8.08063
2.75,10,14.4327,-1.73451,-4.43272,-7.77175
2.8,10,14.3285,-2.0852,-4.32846,-7.43493
2.85,10,14.2077,-2.41444,-4.20774,-7.07271
2.9,10,14.0717,-2.72134,-4.07167,-6.68768
2.95,10,13.9214,-3.00511,-3.92142,-6.28246
3,10,13.7582,-3.26511,-3.75816,-5.85967
3.05,10,13.5831,-3.50085,-3.58312,-5.42195
3.1,10,13.3975,-3.71195,-3.39752,-4.97191
3.15,10,13.2026,-3.89818,-3.20261,-4.51216
3.2,10,12.9996,-4.05944,-2.99964,-4.04523
3.25,10,12.7899,-4.19574,-2.78985,-3.57366
3.3,10,12.5745,-4.30722,-2.57449,-3.09989
