Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.00833333,5,10,0,10,15.5,0,-0,7.3094,1.15833,6.1594,12,0,10,19.0941,0,-0,3,-1.99167,5,10,0,10,15.5,0,-0,3.8453,-1.99167,5.8453,12,0,10,18.1204,0,-0,7,2.00833,5,10,0,10,15.5,0,-0,3.8453,-1.99167,5.8453,12,0,10,18.1204,0,-0,0,0
0.05,5,0.030549,4.99167,10,0,10,15.4742,-2.75,-0.0366667,7.3094,1.18055,6.15107,12,0,10,19.0683,-3.54707,-0.0366667,3,-1.96945,4.99167,10,0,10,15.4742,-2.75,-0.0366667,3.8453,-1.96945,5.83697,12,0,10,18.0946,-3.06021,-0.0366667,7,2.03055,4.99167,10,0,10,15.4742,-2.75,-0.0366667,3.8453,-1.96945,5.83697,12,0,10,18.0946,-3.06021,-0.0366667,0,0
0.1,5,0.0703107,4.96945,10,0,10,15.4053,-4.09375,-0.130749,7.3094,1.22031,6.12885,12,0,10,18.9994,-5.28936,-0.130749,3,-1.92969,4.96945,10,0,10,15.4053,-4.09375,-0.130749,3.8453,-1.92969,5.81475,12,0,10,18.0257,-4.55907,-0.130749,7,2.07031,4.96945,10,0,10,15.4053,-4.09375,-0.130749,3.8453,-1.92969,5.81475,12,0,10,18.0257,-4.55907,-0.130749,0,0
0.15,5,0.129985,4.92969,10,0,10,15.282,-4.58556,-0.292626,7.3094,1.27999,6.08909,12,0,10,18.8762,-5.95724,-0.292626,3,-1.87001,4.92969,10,0,10,15.282,-4.58556,-0.292626,3.8453,-1.87001,5.77499,12,0,10,17.9025,-5.11152,-0.292626,7,2.12999,4.92969,10,0,10,15.282,-4.58556,-0.292626,3.8453,-1.87001,5.77499,12,0,10,17.9025,-5.11152,-0.292626,0,0
0.2,5,0.210933,4.87001,9.88103,0,9.88103,15.097,-4.69008,-0.525931,7.3094,1.36103,6.02942,12,0,10,18.6912,-6.14981,-0.525931,3,-1.78907,4.87001,9.88103,0,9.88103,15.097,-4.69008,-0.525931,3.8453,-1.78897,5.71531,11.9452,0,10,17.7175,-5.24638,-0.525931,7,2.21093,4.87001,9.88103,0,9.88103,15.097,-4.69008,-0.525931,3.8453,-1.78897,5.71531,11.9452,0,10,17.7175,-5.24638,-0.525931,0,0
0.25,5,0.313519,4.78907,9.4223,0,9.4223,14.8461,-4.5943,-0.829506,7.3094,1.46426,5.94837,11.5714,0,10,18.4399,-6.03857,-0.829942,3,-1.68648,4.78907,9.4223,0,9.4223,14.8461,-4.5943,-0.829506,3.8453,-1.68574,5.63427,11.5026,0,10,17.4662,-5.13369,-0.829942,7,2.31352,4.78907,9.4223,0,9.4223,14.8461,-4.5943,-0.829506,3.8453,-1.68574,5.63427,11.5026,0,10,17.4662,-5.13369,-0.829942,0,0
0.3,5,0.437307,4.68648,8.82958,0,8.82958,14.5281,-4.50057,-1.19794,7.3094,1.59003,5.84514,10.9971,0,10,18.1199,-5.92166,-1.20117,3,-1.56269,4.68648,8.82958,0,8.82958,14.5281,-4.50057,-1.19794,3.8453,-1.55997,5.53104,10.922,0,10,17.1462,-5.02307,-1.20117,7,2.43731,4.68648,8.82958,0,8.82958,14.5281,-4.50057,-1.19794,3.8453,-1.55997,5.53104,10.922,0,10,17.1462,-5.02307,-1.20117,0,0
0.35,5,0.581197,4.56269,8.11222,0,8.11222,14.1443,-4.40932,-1.62281,7.3094,1.73835,5.71937,10.2883,0,10,17.73,-5.80728,-1.63443,3,-1.4188,4.56269,8.11222,0,8.11222,14.1443,-4.40932,-1.62281,3.8453,-1.41165,5.40527,10.2069,0,10,16.7563,-4.91496,-1.63443,7,2.5812,4.56269,8.11222,0,8.11222,14.1443,-4.40932,-1.62281,3.8453,-1.41165,5.40527,10.2069,0,10,16.7563,-4.91496,-1.63443,0,0
0.4,5,0.743546,4.4188,7.2837,0,7.2837,13.6983,-4.32094,-2.09364,7.3094,1.90851,5.57106,9.45085,0,9.45085,17.2703,-5.69586,-2.12357,3,-1.25645,4.4188,7.2837,0,7.2837,13.6983,-4.32094,-2.09364,3.8453,-1.24157,5.25695,9.36317,0,9.36317,16.2966,-4.80983,-2.12357,7,2.74355,4.4188,7.2837,0,7.2837,13.6983,-4.32094,-2.09364,3.8453,-1.24157,5.25695,9.36317,0,9.36317,16.2966,-4.80983,-2.12357,0,0
0.45,5,0.922277,4.25645,6.36058,0,6.36058,13.195,-4.23581,-2.59861,7.3094,2.09901,5.40089,8.49501,0,8.49501,16.7428,-5.58784,-2.65992,3,-1.07772,4.25645,6.36058,0,6.36058,13.195,-4.23581,-2.59861,3.8453,-1.05126,5.08687,8.40159,0,8.40159,15.7693,-4.70809,-2.6596,7,2.92228,4.25645,6.36058,0,6.36058,13.195,-4.23581,-2.59861,3.8453,-1.05126,5.08687,8.40159,0,8.40159,15.7693,-4.70809,-2.6596,0,0
