Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.00833333,5,10,0,10,35,0,-0,7.3094,1.15833,6.1594,12,0,10,43.1158,0,-0,3,-1.99167,5,10,0,10,35,0,-0,3.8453,-1.99167,5.8453,12,0,10,40.9171,0,-0,7,2.00833,5,10,0,10,35,0,-0,3.8453,-1.99167,5.8453,12,0,10,40.9171,0,-0,0,0
0.05,5,0.030549,4.99167,10,1.16518,10,34.9417,-8,-0.075,7.3094,1.18055,6.15107,12,1.85826,10,43.0575,-9.6,-0.075,3,-1.96945,4.99167,10,1.16518,10,34.9417,-8,-0.075,3.8453,-1.96945,5.83697,12,1.40107,10,40.8588,-9.6,-0.075,7,2.03055,4.99167,10,1.16518,10,34.9417,-8,-0.075,3.8453,-1.96945,5.83697,12,1.40107,10,40.8588,-9.6,-0.075,0,0
0.1,5,0.0703107,4.96945,10,1.25272,10,34.7862,-8,-0.267441,7.3094,1.22031,6.12885,12,1.93171,10,42.902,-9.6,-0.267441,3,-1.92969,4.96945,10,1.25272,10,34.7862,-8,-0.267441,3.8453,-1.92969,5.81475,12,1.48357,10,40.7033,-9.6,-0.267441,7,2.07031,4.96945,10,1.25272,10,34.7862,-8,-0.267441,3.8453,-1.92969,5.81475,12,1.48357,10,40.7033,-9.6,-0.267441,0,0
0.15,5,0.129985,4.92969,10,1.35263,10,34.5078,-8,-0.598553,7.3094,1.27999,6.08909,12,2.06335,10,42.6236,-9.6,-0.598553,3,-1.87001,4.92969,10,1.35263,10,34.5078,-8,-0.598553,3.8453,-1.87001,5.77499,12,1.64955,10,40.4249,-9.6,-0.598553,7,2.12999,4.92969,10,1.35263,10,34.5078,-8,-0.598553,3.8453,-1.87001,5.77499,12,1.64955,10,40.4249,-9.6,-0.598553,0,0
0.2,5,0.211032,4.87001,10,1.5,10,34.0901,-8,-1.07577,7.3094,1.36103,6.02942,12,2.1782,10,42.2059,-9.6,-1.07577,3,-1.78897,4.87001,10,1.5,10,34.0901,-8,-1.07577,3.8453,-1.78897,5.71531,12,1.83143,10,40.0072,-9.6,-1.07577,7,2.21103,4.87001,10,1.5,10,34.0901,-8,-1.07577,3.8453,-1.78897,5.71531,12,1.83143,10,40.0072,-9.6,-1.07577,0,0
0.25,5,0.314264,4.78897,10,1.5,10,33.5228,-8,-1.69761,7.3094,1.46426,5.94837,12,1.87364,10,41.6386,-9.6,-1.69761,3,-1.68574,4.78897,10,1.5,10,33.5228,-8,-1.69761,3.8453,-1.68574,5.63427,12,1.61189,10,39.4399,-9.6,-1.69761,7,2.31426,4.78897,10,1.5,10,33.5228,-8,-1.69761,3.8453,-1.68574,5.63427,12,1.61189,10,39.4399,-9.6,-1.69761,0,0
0.3,5,0.440029,4.68574,10,1.5,10,32.8002,-8,-2.45694,7.3094,1.59003,5.84514,12,1.78761,10,40.916,-9.6,-2.45694,3,-1.55997,4.68574,10,1.5,10,32.8002,-8,-2.45694,3.8453,-1.55997,5.53104,12,1.52586,10,38.7172,-9.6,-2.45694,7,2.44003,4.68574,10,1.5,10,32.8002,-8,-2.45694,3.8453,-1.55997,5.53104,12,1.52586,10,38.7172,-9.6,-2.45694,0,0
0.35,5,0.588326,4.55997,10,1.5,10,31.9198,-8,-3.34313,7.3094,1.73833,5.71937,12,1.68281,10,40.0356,-9.6,-3.34313,3,-1.41167,4.55997,10,1.5,10,31.9198,-8,-3.34313,3.8453,-1.41167,5.40527,12,1.5,10,37.8369,-9.6,-3.34313,7,2.58833,4.55997,10,1.5,10,31.9198,-8,-3.34313,3.8453,-1.41167,5.40527,12,1.5,10,37.8369,-9.6,-3.34313,0,0
0.4,5,0.7589,4.41167,10,1.5,10,30.8817,-8,-4.34349,7.3094,1.9089,5.57107,12,1.55923,10,38.9975,-9.6,-4.34349,3,-1.2411,4.41167,10,1.5,10,30.8817,-8,-4.34349,3.8453,-1.2411,5.25697,12,1.5,10,36.7988,-9.6,-4.34349,7,2.7589,4.41167,10,1.5,10,30.8817,-8,-4.34349,3.8453,-1.2411,5.25697,12,1.5,10,36.7988,-9.6,-4.34349,0,0
0.45,5,0.951298,4.2411,10,1.5,10,29.6877,-8,-5.44431,7.3094,2.1013,5.4005,12,1.5,10,37.8035,-9.6,-5.44431,3,-1.0487,4.2411,10,1.5,10,29.6877,-8,-5.44431,3.8453,-1.0487,5.0864,12,1.5,10,35.6048,-9.6,-5.44431,7,2.9513,4.2411,10,1.5,10,29.6877,-8,-5.44431,3.8453,-1.0487,5.0864,12,1.5,10,35.6048,-9.6,-5.44431,0,0
0.5,5,1.16492,4.0487,10,1.5,10,28.3409,-8,-6.63146,7.3094,2.31492,5.2081,12,1.5,10,36.4567,-9.6,-6.63146,3,-0.835084,4.0487,10,1.5,10,28.3409,-8,-6.63146,3.8453,-0.835084,4.894,12,1.5,10,34.258,-9.6,-6.63146,7,3.16492,4.0487,10,1.5,10,28.3409,-8,-6.63146,3.8453,-0.835084,4.894,12,1.5,10,34.258,-9.6,-6.63146,0,0
0.55,5,1.39904,3.83508,10,1.5,10,26.8456,-8,-7.89088,7.3094,2.54904,4.99448,12,1.5,10,34.9614,-9.6,-7.89088,3,-0.600961,3.83508,10,1.5,10,26.8456,-8,-7.89088,3.8453,-0.600961,4.68038,12,1.5,10,32.7627,-9.6,-7.89088,7,3.39904,3.83508,10,1.5,10,26.8456,-8,-7.89088,3.8453,-0.600961,4.68038,12,1.5,10,32.7627,-9.6,-7.89088,0,0
0.6,5,1.65245,3.60096,7.99783,1.5,9.49783,25.2067,-8,-9.2089,7.3094,2.80287,4.76036,12,1.5,10,33.3225,-9.6,-9.2089,3,-0.347552,3.60096,7.99783,1.5,9.49783,25.2067,-8,-9.2089,3.8453,-0.347133,4.44626,12,1.5,10,31.1238,-9.6,-9.2089,7,3.65245,3.60096,7.99783,1.5,9.49783,25.2067,-8,-9.2089,3.8453,-0.347133,4.44626,12,1.5,10,31.1238,-9.6,-9.2089,0,0
0.65,5,1.92092,3.34755,5.03156,0.75,5.78156,23.4329,-7.83262,-10.5687,7.3094,3.07554,4.50653,11.3733,0.75,10,31.5457,-9.6,-10.5725,3,-0.0790827,3.34755,5.03156,0.75,5.78156,23.4329,-7.83262,-10.5687,3.8453,-0.0744808,4.19243,9.22674,0.75,9.97674,29.347,-9.54784,-10.5725,7,3.92092,3.34755,5.03156,0.75,5.78156,23.4329,-7.83262,-10.5687,3.8453,-0.0744808,4.19243,9.22674,0.75,9.97674,29.347,-9.54784,-10.5725,0,0
0.7,5,2.19887,3.07908,1.94687,0.75,2.69687,21.5536,-7.67867,-11.928,7.3094,3.36539,4.23386,8.27948,0.75,9.02948,29.637,-9.38831,-11.9693,3,0.198865,3.07908,1.94687,0.75,2.69687,21.5536,-7.67867,-11.928,3.8453,0.213536,3.91978,6.11753,0.75,6.86753,27.4385,-9.35185,-11.9691,7,4.19887,3.07908,1.94687,0.75,2.69687,21.5536,-7.67867,-11.928,3.8453,0.213536,3.91978,6.11753,0.75,6.86753,27.4385,-9.35185,-11.9691,0,0
0.75,5,2.47991,2.80113,-1.16743,0.75,-0.417434,19.6079,-7.53861,-13.2368,7.3094,3.66839,3.94401,5.036,0.75,5.786,27.6081,-9.19111,-13.381,3,0.479934,2.80113,-1.16744,0.75,-0.417438,19.6079,-7.53861,-13.2368,3.8453,0.511779,3.63176,2.88775,0.75,3.63775,25.4223,-9.17026,-13.3643,7,4.47993,2.80113,-1.16744,0.75,-0.417438,19.6079,-7.53861,-13.2368,3.8453,0.511779,3.63176,2.88775,0.75,3.63775,25.4223,-9.17026,-13.3643,0,0
0.8,5,2.75735,2.52009,-4.21445,0.75,-3.46445,17.6406,-7.41261,-14.4425,7.3094,3.97841,3.64101,1.70812,0,1.70812,25.4871,-9.00906,-14.7699,3,0.75746,2.52007,-4.21485,0.75,-3.46485,17.6405,-7.41261,-14.4427,3.8453,0.814122,3.33352,-0.381021,0.75,0.368979,23.3346,-9.00359,-14.7121,7,4.75746,2.52007,-4.21485,0.75,-3.46485,17.6405,-7.41261,-14.4427,3.8453,0.814122,3.33352,-0.381021,0.75,0.368979,23.3346,-9.00359,-14.7121,0,0
0.85,5,3.02456,2.24265,-7.09708,0.75,-6.34708,15.6986,-7.30047,-15.4952,7.3094,4.28873,3.33099,-1.60861,0,-1.60861,23.317,-8.84251,-16.0831,3,1.02486,2.24254,-7.09888,0.75,-6.34888,15.6978,-7.30048,-15.4962,3.8453,1.11336,3.03118,-3.59574,0,-3.59574,21.2182,-8.85203,-15.962,7,5.02486,2.24254,-7.09888,0.75,-6.34888,15.6978,-7.30048,-15.4962,3.8453,1.11336,3.03118,-3.59574,0,-3.59574,21.2182,-8.85203,-15.962,0,0
0.9,5,3.27446,1.97544,-9.72419,-0.75,-10,13.8281,-7.2017,-16.3506,7.3094,4.5925,3.02067,-4.81441,0,-4.81441,21.1447,-8.69147,-17.2676,3,1.27509,1.97514,-9.72892,-0.75,-10,13.826,-7.20172,-16.3532,3.8453,1.40312,2.73194,-6.65078,0.75,-5.90078,19.1236,-8.71543,-17.0589,7,5.27509,1.97514,-9.72892,-0.75,-10,13.826,-7.20172,-16.3532,3.8453,1.40312,2.73194,-6.65078,0.75,-5.90078,19.1236,-8.71543,-17.0589,0,0
0.95,5,3.5028,1.72554,-10,0.0111964,-9.9888,12.0788,-7.11543,-16.9646,7.3094,4.88308,2.7169,-7.81215,0,-7.81215,19.0183,-8.55563,-18.2748,3,1.50391,1.72491,-10,-0.75,-10,12.0744,-7.11548,-16.9699,3.8453,1.67847,2.44218,-8,0.75,-7.25,17.0952,-8.59332,-17.9609,7,5.50391,1.72491,-10,-0.75,-10,12.0744,-7.11548,-16.9699,3.8453,1.67847,2.44218,-8,0.75,-7.25,17.0952,-8.59332,-17.9609,0,0
