Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.0245,5,10,0,10,270,1.66667,-0,7.3094,1.1745,6.1594,10,0,10,332.608,2.05313,-0,3,-1.9755,5,10,0,10,270,1.66667,-0,3.8453,-1.9755,5.8453,10,0,10,315.646,1.94843,-0,7,2.0245,5,10,0,10,270,1.66667,-0,3.8453,-1.9755,5.8453,10,0,10,315.646,1.94843,-0,0,0
0.05,5,0.07301,4.9755,10,1.26119,10,268.677,3.32517,-59.535,7.3094,1.22301,6.1349,10,1.96419,10,331.285,4.0981,-59.535,3,-1.92699,4.9755,10,1.26119,10,268.677,3.32517,-59.535,3.8453,-1.92699,5.8208,10,1.50382,10,314.323,3.8887,-59.535,7,2.07301,4.9755,10,1.26119,10,268.677,3.32517,-59.535,3.8453,-1.92699,5.8208,10,1.50382,10,314.323,3.8887,-59.535,0,0
0.1,5,0.14505,4.92699,10,1.46901,10,266.057,4.9675,-117.879,7.3094,1.29505,6.08639,10,2.25851,10,328.665,6.1269,-117.879,3,-1.85495,4.92699,10,1.46901,10,266.057,4.9675,-117.879,3.8453,-1.85495,5.77229,10,1.87881,10,311.704,5.8128,-117.879,7,2.14505,4.92699,10,1.46901,10,266.057,4.9675,-117.879,3.8453,-1.85495,5.77229,10,1.87881,10,311.704,5.8128,-117.879,0,0
0.15,5,0.240149,4.85495,10,1.5,10,262.167,6.58581,-175.057,7.3094,1.39015,6.01435,10,2.00395,10,324.775,8.13168,-175.057,3,-1.75985,4.85495,10,1.5,10,262.167,6.58581,-175.057,3.8453,-1.75985,5.70025,10,1.74612,10,307.813,7.71288,-175.057,7,2.24015,4.85495,10,1.5,10,262.167,6.58581,-175.057,3.8453,-1.75985,5.70025,10,1.74612,10,307.813,7.71288,-175.057,0,0
0.2,5,0.357846,4.75985,10,1.5,10,257.032,8.17243,-231.091,7.3094,1.50785,5.91925,10,1.84938,10,319.64,10.1048,-231.091,3,-1.64215,4.75985,10,1.5,10,257.032,8.17243,-231.091,3.8453,-1.64215,5.60515,10,1.58763,10,302.678,9.58126,-231.091,7,2.35785,4.75985,10,1.5,10,257.032,8.17243,-231.091,3.8453,-1.64215,5.60515,10,1.58763,10,302.678,9.58126,-231.091,0,0
0.25,5,0.452364,4.64215,-10,1.5,-8.5,250.676,9.71982,-286.004,7.3094,1.64769,5.80156,10,1.7513,10,313.284,12.0386,-286.004,3,-1.54764,4.64215,-10,1.5,-8.5,250.676,9.71982,-286.004,3.8453,-1.50231,5.48745,10,1.5,10,296.322,11.4104,-286.004,7,2.45236,4.64215,-10,1.5,-8.5,250.676,9.71982,-286.004,3.8453,-1.50231,5.48745,10,1.5,10,296.322,11.4104,-286.004,0,0
0.3,5,0.569492,4.54764,10,1.5,10,245.572,11.2357,-229.679,7.3094,1.76424,5.66171,-10,1.63476,-8.36524,305.732,13.9259,-339.819,3,-1.43051,4.54764,10,1.5,10,245.572,11.2357,-229.679,3.8453,-1.38609,5.34761,-10,1.5,-8.5,288.771,13.193,-339.819,7,2.56949,4.54764,10,1.5,10,245.572,11.2357,-229.679,3.8453,-1.38609,5.34761,-10,1.5,-8.5,288.771,13.193,-339.819,0,0
0.35,5,0.663452,4.43051,-10,1.5,-8.5,239.247,12.7125,-284.62,7.3094,1.90296,5.54516,10,1.53763,10,299.439,15.7742,-283.22,3,-1.33655,4.43051,-10,1.5,-8.5,239.247,12.7125,-284.62,3.8453,-1.24769,5.23139,10,1.5,10,282.495,14.9367,-282.418,7,2.66345,4.43051,-10,1.5,-8.5,239.247,12.7125,-284.62,3.8453,-1.24769,5.23139,10,1.5,10,282.495,14.9367,-282.418,0,0
0.4,5,0.780033,4.33655,10,1.5,10,234.174,14.158,-228.323,7.3094,2.01808,5.40644,-10,1.5,-8.5,291.948,17.5764,-337.09,3,-1.21997,4.33655,10,1.5,10,234.174,14.158,-228.323,3.8453,-1.13289,5.09299,-10,1.5,-8.5,275.022,16.6344,-336.304,7,2.78003,4.33655,10,1.5,10,234.174,14.158,-228.323,3.8453,-1.13289,5.09299,-10,1.5,-8.5,275.022,16.6344,-336.304,0,0
0.45,5,0.873457,4.21997,-10,1.5,-8.5,227.878,15.5647,-283.292,7.3094,2.1554,5.29132,10,1.5,10,285.731,19.3402,-279.744,3,-1.12654,4.21997,-10,1.5,-8.5,227.878,15.5647,-283.292,3.8453,-0.996757,4.97819,8.14261,1.5,9.64261,268.822,18.2938,-278.973,7,2.87346,4.21997,-10,1.5,-8.5,227.878,15.5647,-283.292,3.8453,-0.996757,4.97819,8.14261,1.5,9.64261,268.822,18.2938,-278.973,0,0
