Kp,OvershootPercent,SettlingTime2Percent,Stability
15,61.5,15.0,Stable
16.0,61.6,14.7,Stable
17.0,61.7,N/A,Stable
18.0,61.7,N/A,Stable
19.0,61.8,14.8,Stable
20.0,61.8,N/A,Stable
21.0,61.9,N/A,Stable
22.0,61.9,N/A,Stable
23.0,61.8,14.9,Stable
24.0,61.5,14.7,Stable
25.0,61.3,N/A,Stable
26.0,61.2,N/A,Stable
27.0,61.2,15.0,Stable
28.0,61.2,14.9,Stable
29.0,61.2,14.8,Stable
30.0,61.2,N/A,Stable
31.0,61.3,N/A,Stable
32.0,61.3,N/A,Stable
33.0,61.3,14.9,Stable
34.0,61.3,14.9,Stable
35.0,61.3,14.8,Stable
36.0,61.4,14.8,Stable
37.0,61.4,14.7,Stable
38.0,61.4,N/A,Stable
39.0,61.4,N/A,Stable
40.0,61.4,N/A,Stable
41.0,61.4,15.0,Stable
42.0,61.5,14.9,Stable
43.0,61.5,14.9,Stable
44.0,61.5,14.9,Stable
45.0,61.5,14.8,Stable
46.0,61.5,14.8,Stable
47.0,61.5,14.7,Stable
48.0,61.6,N/A,Stable
49.0,61.6,N/A,Stable
50.0,61.6,N/A,Stable

Ku,Not found
Pu,Not found
Troubleshooting,Increase kp_max or decrease kp_step
