Error,Wind,dError_fixed,Correction
-10,-10,0,-6
-10,-9.5,0,-6
-10,-9,0,-6
-10,-8.5,0,-6
-10,-8,0,-6
-10,-7.5,0,-6
-10,-7,0,-6
-10,-6.5,0,-6
-10,-6,0,-6
-10,-5.5,0,-6
-10,-5,0,-6
-10,-4.5,0,0
-10,-4,0,0
-10,-3.5,0,0
-10,-3,0,0
-10,-2.5,0,0
-10,-2,0,0
-10,-1.5,0,0
-10,-1,0,-3.31034
-10,-0.5,0,-3.36306
-10,0,0,-3.36306
-10,0.5,0,-3.36306
-10,1,0,-3.31034
-10,1.5,0,0
-10,2,0,0
-10,2.5,0,0
-10,3,0,0
-10,3.5,0,0
-10,4,0,0
-10,4.5,0,0
-10,5,0,0
-10,5.5,0,0
-10,6,0,0
-10,6.5,0,0
-10,7,0,0
-10,7.5,0,0
-10,8,0,0
-10,8.5,0,0
-10,9,0,0
-10,9.5,0,0
-10,10,0,0
-9.5,-10,0,-6
-9.5,-9.5,0,-6
-9.5,-9,0,-6
-9.5,-8.5,0,-6
-9.5,-8,0,-6
-9.5,-7.5,0,-6
-9.5,-7,0,-6
-9.5,-6.5,0,-6
-9.5,-6,0,-6
-9.5,-5.5,0,-6
-9.5,-5,0,-6
-9.5,-4.5,0,0
-9.5,-4,0,0
-9.5,-3.5,0,0
-9.5,-3,0,0
-9.5,-2.5,0,0
-9.5,-2,0,0
-9.5,-1.5,0,0
-9.5,-1,0,-3.31034
-9.5,-0.5,0,-3.74093
-9.5,0,0,-3.74093
-9.5,0.5,0,-3.74093
-9.5,1,0,-3.31034
-9.5,1.5,0,0
-9.5,2,0,0
-9.5,2.5,0,0
-9.5,3,0,0
-9.5,3.5,0,0
-9.5,4,0,0
-9.5,4.5,0,0
-9.5,5,0,0
-9.5,5.5,0,0
-9.5,6,0,0
-9.5,6.5,0,0
-9.5,7,0,0
-9.5,7.5,0,0
-9.5,8,0,0
-9.5,8.5,0,0
-9.5,9,0,0
-9.5,9.5,0,0
-9.5,10,0,0
-9,-10,0,-6
-9,-9.5,0,-6
-9,-9,0,-6
-9,-8.5,0,-6
-9,-8,0,-6
-9,-7.5,0,-6
-9,-7,0,-6
-9,-6.5,0,-6
-9,-6,0,-6
-9,-5.5,0,-6
-9,-5,0,-6
-9,-4.5,0,0
-9,-4,0,0
-9,-3.5,0,0
-9,-3,0,0
-9,-2.5,0,0
-9,-2,0,0
-9,-1.5,0,0
-9,-1,0,-3.31034
-9,-0.5,0,-3.7561
-9,0,0,-3.78166
-9,0.5,0,-3.7561
-9,1,0,-3.31034
-9,1.5,0,0
-9,2,0,0
-9,2.5,0,0
-9,3,0,0
-9,3.5,0,0
-9,4,0,0
-9,4.5,0,0
-9,5,0,0
-9,5.5,0,0
-9,6,0,0
-9,6.5,0,0
-9,7,0,0
-9,7.5,0,0
-9,8,0,0
-9,8.5,0,0
-9,9,0,0
-9,9.5,0,0
-9,10,0,0
-8.5,-10,0,-6
-8.5,-9.5,0,-6
-8.5,-9,0,-6
-8.5,-8.5,0,-6
-8.5,-8,0,-6
-8.5,-7.5,0,-6
-8.5,-7,0,-6
-8.5,-6.5,0,-6
-8.5,-6,0,-6
-8.5,-5.5,0,-6
-8.5,-5,0,-6
-8.5,-4.5,0,0
-8.5,-4,0,0
-8.5,-3.5,0,0
-8.5,-3,0,0
-8.5,-2.5,0,0
-8.5,-2,0,0
-8.5,-1.5,0,0
-8.5,-1,0,-3.31034
-8.5,-0.5,0,-3.7561
-8.5,0,0,-3.81132
-8.5,0.5,0,-3.7561
-8.5,1,0,-3.31034
-8.5,1.5,0,0
-8.5,2,0,0
-8.5,2.5,0,0
-8.5,3,0,0
-8.5,3.5,0,0
-8.5,4,0,0
-8.5,4.5,0,0
-8.5,5,0,0
-8.5,5.5,0,0
-8.5,6,0,0
-8.5,6.5,0,0
-8.5,7,0,0
-8.5,7.5,0,0
-8.5,8,0,0
-8.5,8.5,0,0
-8.5,9,0,0
-8.5,9.5,0,0
-8.5,10,0,0
-8,-10,0,-6
-8,-9.5,0,-6
-8,-9,0,-6
-8,-8.5,0,-6
-8,-8,0,-6
-8,-7.5,0,-6
-8,-7,0,-6
-8,-6.5,0,-6
-8,-6,0,-6
-8,-5.5,0,-6
-8,-5,0,-6
-8,-4.5,0,0
-8,-4,0,0
-8,-3.5,0,0
-8,-3,0,0
-8,-2.5,0,0
-8,-2,0,0
-8,-1.5,0,0
-8,-1,0,-3.31034
-8,-0.5,0,-3.7561
-8,0,0,-3.78723
-8,0.5,0,-3.7561
-8,1,0,-3.31034
-8,1.5,0,0
-8,2,0,0
-8,2.5,0,0
-8,3,0,0
-8,3.5,0,0
-8,4,0,0
-8,4.5,0,0
-8,5,0,0
-8,5.5,0,0
-8,6,0,0
-8,6.5,0,0
-8,7,0,0
