Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,-1.9755,7,10,0,10,10.5,0.0175,0,7.3094,0.0245,7.3094,10,0,10,10.9641,0.0182735,0,3,0.0110434,3,4.5075,0,4.5075,4.5,0.0075,0,3.8453,0.014155,3.8453,5.77756,0,5.77756,5.76795,0.00961325,0,7,2.01841,5,7.5125,0,7.5125,7.5,0.0125,0,3.8453,0.014155,3.8453,5.77756,0,5.77756,5.76795,0.00961325,0,0,0
0.05,5,-1.92905,6.9755,9.91019,-0.75,9.16019,10.4633,0.0349388,-0.588,7.3094,0.07301,7.2849,10,0,10,10.9274,0.0364858,-0.588,3,0.0285626,2.98896,4.23337,-1.5,2.73337,4.48343,0.0149724,-0.265041,3.8453,0.0376461,3.83114,5.42619,-1.5,3.92619,5.74672,0.0191911,-0.339721,7,2.05005,4.98159,7.05561,-1.5,5.55561,7.47239,0.024954,-0.441735,3.8453,0.0376461,3.83114,5.42619,-1.5,3.92619,5.74672,0.0191911,-0.339721,0,0
0.1,5,-1.8625,6.92905,9.33097,-0.75,8.58097,10.3936,0.0522614,-1.11486,7.3094,0.144425,7.23639,9.74492,0,9.74492,10.8546,0.0545767,-1.16424,3,0.0520013,2.97144,4.05909,-1.5,2.55909,4.45716,0.022401,-0.420462,3.8453,0.0696746,3.80765,5.1764,-1.5,3.6764,5.71148,0.0287102,-0.563786,7,2.09382,4.94995,6.70268,-1.5,5.20268,7.42492,0.0373288,-0.75957,3.8453,0.0696746,3.80765,5.1764,-1.5,3.6764,5.71148,0.0287102,-0.563786,0,0
0.15,5,-1.77765,6.8625,8.76605,-0.75,8.01605,10.2938,0.0694176,-1.59712,7.3094,0.236721,7.16498,9.106,0,9.106,10.7475,0.0724892,-1.71396,3,0.0808248,2.948,3.88924,-1.5,2.38924,4.422,0.029771,-0.562528,3.8453,0.109473,3.77562,4.9329,-1.5,3.4329,5.66344,0.0381493,-0.768683,7,2.14861,4.90618,6.35857,-1.5,4.85857,7.35927,0.0495943,-1.0503,3.8453,0.109473,3.77562,4.9329,-1.5,3.4329,5.66344,0.0381493,-0.768683,0,0
0.2,5,-1.67436,6.77765,8.21631,0,8.21631,10.1665,0.0863617,-2.03652,7.3094,0.347957,7.07268,8.48408,0,8.48408,10.609,0.0901709,-2.21511,3,0.114521,2.91918,3.72407,-1.5,2.22407,4.37876,0.0370689,-0.691765,3.8453,0.156306,3.73583,4.69606,-1.5,3.19606,5.60374,0.0474889,-0.955164,7,2.21522,4.85139,6.02384,-0.75,5.27384,7.27709,0.0617228,-1.31497,3.8453,0.156306,3.73583,4.69606,-1.5,3.19606,5.60374,0.0474889,-0.955164,0,0
0.25,5,-1.55443,6.67436,7.63567,0,7.63567,10.0115,0.103048,-2.47891,7.3094,0.476275,6.96144,7.88007,0,7.88007,10.4422,0.107574,-2.66967,3,0.152599,2.88548,3.5638,-1.5,2.0638,4.32822,0.0442826,-0.808704,3.8453,0.209469,3.68899,4.46621,-1.5,2.96621,5.53349,0.0567114,-1.12399,7,2.29252,4.78478,5.65207,-0.75,4.90207,7.17717,0.0736847,-1.59878,3.8453,0.209469,3.68899,4.46621,-1.5,2.96621,5.53349,0.0567114,-1.12399,0,0
0.3,5,-1.41957,6.55443,7.07276,0,7.07276,9.83164,0.119434,-2.87831,7.3094,0.619899,6.83313,7.29472,0,7.29472,10.2497,0.124657,-3.07963,3,0.194592,2.8474,3.40862,-1.5,1.90862,4.2711,0.0514011,-0.913882,3.8453,0.270129,3.63583,4.24362,-0.75,3.49362,5.45375,0.0658009,-1.27592,7,2.38123,4.70748,5.29164,0,5.29164,7.06123,0.0854534,-1.85504,3.8453,0.270129,3.63583,4.24362,-0.75,3.49362,5.45375,0.0658009,-1.27592,0,0
0.35,5,-1.27141,6.41957,6.52821,0,6.52821,9.62935,0.135483,-3.23662,7.3094,0.777135,6.6895,6.72867,0,6.72867,10.0343,0.141381,-3.44696,3,0.240054,2.80541,3.2587,-1.5,1.7587,4.20811,0.0584146,-1.00783,3.8453,0.337493,3.57517,3.98167,-0.75,3.23167,5.36276,0.0747389,-1.45583,7,2.48016,4.61877,4.89607,0,4.89607,6.92816,0.0970004,-2.12909,3.8453,0.337493,3.57517,3.98167,-0.75,3.23167,5.36276,0.0747389,-1.45583,0,0
0.4,5,-1.11151,6.27141,6.00253,0,6.00253,9.40712,0.151161,-3.55575,7.3094,0.946373,6.53227,6.18244,0,6.18244,9.7984,0.157712,-3.77367,3,0.288561,2.75995,3.11415,-1.5,1.61415,4.13992,0.0653145,-1.09109,3.8453,0.410807,3.50781,3.72848,-0.75,2.97848,5.26171,0.0835084,-1.61673,7,2.58817,4.51984,4.51366,0,4.51366,6.77976,0.1083,-2.3744,3.8453,0.410807,3.50781,3.72848,-0.75,2.97848,5.26171,0.0835084,-1.61673,0,0
0.45,5,-0.941346,6.11151,5.49613,0,5.49613,9.16727,0.16644,-3.83758,7.3094,1.12609,6.36303,5.65644,0,5.65644,9.54454,0.173619,-4.06172,3,0.339712,2.71144,2.97508,-1.5,1.47508,4.06716,0.0720931,-1.16418,3.8453,0.489354,3.43449,3.4843,-0.75,2.7343,5.15174,0.0920946,-1.75953,7,2.70418,4.41183,4.14475,0,4.14475,6.61774,0.11933,-2.59231,3.8453,0.489354,3.43449,3.4843,-0.75,2.7343,5.15174,0.0920946,-1.75953,0,0
