Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2
0,5,0.05,5,10,0,10,15.5,0,-0,7.3094,1.2,6.1594,12,0,10,19.0941,0,-0,3,-1.95,5,10,0,10,15.5,0,-0,3.8453,-1.95,5.8453,12,0,10,18.1204,0,-0,7,2.05,5,10,0,10,15.5,0,-0,3.8453,-1.95,5.8453,12,0,10,18.1204,0,-0
0.1,5,0.174764,4.95,10,0,10,15.345,-2.75,-0.11,7.3094,1.32476,6.1094,12,0,10,18.9391,-3.54707,-0.11,3,-1.82524,4.95,10,0,10,15.345,-2.75,-0.11,3.8453,-1.82524,5.7953,12,0,10,17.9654,-3.06021,-0.11,7,2.17476,4.95,10,0,10,15.345,-2.75,-0.11,3.8453,-1.82524,5.7953,12,0,10,17.9654,-3.06021,-0.11
0.2,5,0.385561,4.82524,10,0,10,14.9582,-3.79949,-0.373481,7.3094,1.53556,5.98464,12,0,10,18.5524,-4.94872,-0.373481,3,-1.61444,4.82524,10,0,10,14.9582,-3.79949,-0.373481,3.8453,-1.61444,5.67054,12,0,10,17.5787,-4.231,-0.373481,7,2.38556,4.82524,10,0,10,14.9582,-3.79949,-0.373481,3.8453,-1.61444,5.67054,12,0,10,17.5787,-4.231,-0.373481
0.3,5,0.683405,4.61444,9.49733,0,9.49733,14.3048,-4.00754,-0.799886,7.3094,1.83592,5.77384,11.7662,0,10,17.8989,-5.33285,-0.799886,3,-1.3166,4.61444,9.49733,0,9.49733,14.3048,-4.00754,-0.799886,3.8453,-1.31408,5.45974,11.6256,0,10,16.9252,-4.4997,-0.799886,7,2.6834,4.61444,9.49733,0,9.49733,14.3048,-4.00754,-0.799886,3.8453,-1.31408,5.45974,11.6256,0,10,16.9252,-4.4997,-0.799886
0.4,5,1.05933,4.3166,8.17141,0,8.17141,13.3814,-3.83488,-1.37515,7.3094,2.22468,5.47348,10.4732,0,10,16.9678,-5.11391,-1.38068,3,-0.940675,4.3166,8.17141,0,8.17141,13.3814,-3.83488,-1.37515,3.8453,-0.925319,5.15938,10.3201,0,10,15.9941,-4.29332,-1.38068,7,3.05933,4.3166,8.17141,0,8.17141,13.3814,-3.83488,-1.37515,3.8453,-0.925319,5.15938,10.3201,0,10,15.9941,-4.29332,-1.38068
0.5,5,1.4973,3.94067,6.47418,0,6.47418,12.2161,-3.67725,-2.06466,7.3094,2.69164,5.08472,8.75422,0,8.75422,15.7626,-4.91053,-2.09789,3,-0.502699,3.94067,6.47418,0,6.47418,12.2161,-3.67725,-2.06466,3.8453,-0.459193,4.77062,8.58853,0,8.58853,14.7889,-4.1025,-2.09789,7,3.4973,3.94067,6.47418,0,6.47418,12.2161,-3.67725,-2.06466,3.8453,-0.459193,4.77062,8.58853,0,8.58853,14.7889,-4.1025,-2.09789
0.6,5,1.97689,3.5027,4.49948,0,4.49948,10.8584,-3.53714,-2.82174,7.3094,3.21813,4.61777,6.67385,0,6.67385,14.3151,-4.72581,-2.9154,3,-0.0230967,3.5027,4.49948,0,4.49948,10.8584,-3.53714,-2.82174,3.8453,0.0652481,4.30449,6.50002,0,6.50002,13.3439,-3.93032,-2.91358,7,3.9769,3.5027,4.49948,0,4.49948,10.8584,-3.53714,-2.82174,3.8453,0.0652481,4.30449,6.50002,0,6.50002,13.3439,-3.93032,-2.91358
0.7,5,2.47565,3.02311,2.36078,0,2.36078,9.37165,-3.41622,-3.59466,7.3094,3.78107,4.09127,4.3386,0,4.3386,12.6829,-4.56216,-3.78216,3,0.475737,3.0231,2.36069,0,2.36069,9.3716,-3.41622,-3.59469,3.8453,0.624752,3.78005,4.16305,0,4.16305,11.7182,-3.77912,-3.77599,7,4.47574,3.0231,2.36069,0,2.36069,9.3716,-3.41622,-3.59469,3.8453,0.624752,3.78005,4.16305,0,4.16305,11.7182,-3.77912,-3.77599
0.8,5,2.97128,2.52435,0.177743,0,0.177743,7.82547,-3.31525,-4.33248,7.3094,4.35586,3.52834,1.87442,0,1.87442,10.9378,-4.42103,-4.64239,3,0.971506,2.52426,0.177307,0,0.177307,7.82522,-3.31525,-4.33266,3.8453,1.19477,3.22055,1.7041,0,1.7041,9.9837,-3.6503,-4.6293,7,4.97151,2.52426,0.177307,0,0.177307,7.82522,-3.31525,-4.33266,3.8453,1.19477,3.22055,1.7041,0,1.7041,9.9837,-3.6503,-4.6293
0.9,5,3.44309,2.02872,-1.93468,0,-1.93468,6.28903,-3.2341,-4.98961,7.3094,4.91866,2.95354,-0.5896,0,-0.5896,9.15599,-4.30289,-5.4427,3,1.44356,2.02849,-1.93587,0,-1.93587,6.28833,-3.23411,-4.99009,3.8453,1.75158,2.65053,-0.748057,0,-0.748057,8.21663,-3.54427,-5.42042,7,5.44356,2.02849,-1.93587,0,-1.93587,6.28833,-3.23411,-4.99009,3.8453,1.75158,2.65053,-0.748057,0,-0.748057,8.21663,-3.54427,-5.42042
