Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2
0,5,0.00833333,5,10,0,10,15.5,0,-0,7.3094,1.15833,6.1594,10,0,10,19.0941,0,-0,3,-1.99167,5,10,0,10,15.5,0,-0,3.8453,-1.99167,5.8453,10,0,10,18.1204,0,-0,7,2.00833,5,10,0,10,15.5,0,-0,3.8453,-1.99167,5.8453,10,0,10,18.1204,0,-0
0.05,5,0.030549,4.99167,10,1.16518,10,15.4742,-2.75,-0.366667,7.3094,1.18055,6.15107,10,1.85826,10,19.0683,-4.54707,-0.366667,3,-1.96945,4.99167,10,1.16518,10,15.4742,-2.75,-0.366667,3.8453,-1.96945,5.83697,10,1.40107,10,18.0946,-4.06021,-0.366667,7,2.03055,4.99167,10,1.16518,10,15.4742,-2.75,-0.366667,3.8453,-1.96945,5.83697,10,1.40107,10,18.0946,-4.06021,-0.366667
0.1,5,0.0703107,4.96945,10,1.25272,10,15.4053,-3.92875,-0.97749,7.3094,1.22031,6.12885,10,1.93171,10,18.9994,-6.62436,-0.97749,3,-1.92969,4.96945,10,1.25272,10,15.4053,-3.92875,-0.97749,3.8453,-1.92969,5.81475,10,1.48357,10,18.0257,-5.89407,-0.97749,7,2.07031,4.96945,10,1.25272,10,15.4053,-3.92875,-0.97749,3.8453,-1.92969,5.81475,10,1.48357,10,18.0257,-5.89407,-0.97749
0.15,5,0.129985,4.92969,9.45283,1.35263,10,15.282,-4.07969,-1.74952,7.3094,1.27999,6.08909,9.92529,2.06335,10,18.8762,-7.20137,-1.74952,3,-1.87001,4.92969,9.45283,1.35263,10,15.282,-4.07969,-1.74952,3.8453,-1.87001,5.77499,9.79729,1.64955,10,17.9025,-6.35565,-1.74952,7,2.12999,4.92969,9.45283,1.35263,10,15.282,-4.07969,-1.74952,3.8453,-1.87001,5.77499,9.79729,1.64955,10,17.9025,-6.35565,-1.74952
0.2,5,0.211023,4.87001,8.48909,1.5,9.98909,15.097,-3.98229,-2.62567,7.3094,1.36103,6.02942,8.98473,2.1782,10,18.6912,-7.08078,-2.62567,3,-1.78898,4.87001,8.48909,1.5,9.98909,15.097,-3.98229,-2.62567,3.8453,-1.78897,5.71531,8.85045,1.83143,10,17.7175,-6.24135,-2.62567,7,2.21102,4.87001,8.48909,1.5,9.98909,15.097,-3.98229,-2.62567,3.8453,-1.78897,5.71531,8.85045,1.83143,10,17.7175,-6.24135,-2.62567
0.25,5,0.313318,4.78898,7.39368,1.5,8.89368,14.8458,-3.88651,-3.56565,7.3094,1.46409,5.94837,7.91208,1.87364,9.78572,18.4399,-6.96182,-3.56605,3,-1.68668,4.78898,7.39368,1.5,8.89368,14.8458,-3.88651,-3.56565,3.8453,-1.68625,5.63427,7.77152,1.61189,9.38341,17.4662,-6.12866,-3.56605,7,2.31332,4.78898,7.39368,1.5,8.89368,14.8458,-3.88651,-3.56565,3.8453,-1.68625,5.63427,7.77152,1.61189,9.38341,17.4662,-6.12866,-3.56605
0.3,5,0.435654,4.68668,6.23494,1.5,7.73494,14.5287,-3.79277,-4.501,7.3094,1.58833,5.84532,6.7412,1.78776,8.52896,18.1205,-6.84491,-4.53437,3,-1.56434,4.68668,6.23494,1.5,7.73494,14.5287,-3.79277,-4.501,3.8453,-1.56288,5.53155,6.61015,1.52629,8.13644,17.1478,-6.01803,-4.51962,7,2.43566,4.68668,6.23494,1.5,7.73494,14.5287,-3.79277,-4.501,3.8453,-1.56288,5.53155,6.61015,1.52629,8.13644,17.1478,-6.01803,-4.51962
0.35,5,0.576059,4.56435,5.06521,1.5,6.56521,14.1495,-3.70148,-5.38277,7.3094,1.73195,5.72107,5.5379,1.68422,7.22212,17.7353,-6.73049,-5.46692,3,-1.42393,4.56434,5.06514,1.5,6.56514,14.1495,-3.70149,-5.38285,3.8453,-1.42074,5.40818,5.42734,1.5,6.92734,16.7654,-5.90987,-5.42816,7,2.57607,4.56434,5.06514,1.5,6.56514,14.1495,-3.70149,-5.38285,3.8453,-1.42074,5.40818,5.42734,1.5,6.92734,16.7654,-5.90987,-5.42816
0.4,5,0.732098,4.42394,3.92339,1.5,5.42339,13.7142,-3.61301,-6.17782,7.3094,1.89245,5.57745,4.35201,1.56454,5.91655,17.2901,-6.61894,-6.31914,3,-1.26788,4.42393,3.92307,1.5,5.42307,13.7142,-3.61301,-6.17812,3.8453,-1.26223,5.26604,4.26609,1.5,5.76609,16.3247,-5.80455,-6.2541,7,2.73212,4.42393,3.92307,1.5,5.42307,13.7142,-3.61301,-6.17812,3.8453,-1.26223,5.26604,4.26609,1.5,5.76609,16.3247,-5.80455,-6.2541
0.45,5,0.901098,4.2679,2.83714,1.5,4.33714,13.2305,-3.52765,-6.86571,7.3094,2.06703,5.41695,3.21996,1.5,4.71996,16.7925,-6.5106,-7.06199,3,-1.09885,4.26788,2.83636,1.5,4.33636,13.2304,-3.52765,-6.86642,3.8453,-1.09,5.10753,3.15617,1.5,4.65617,15.8333,-5.7024,-6.97476,7,2.90115,4.26788,2.83636,1.5,4.33636,13.2304,-3.52765,-6.86642,3.8453,-1.09,5.10753,3.15617,1.5,4.65617,15.8333,-5.7024,-6.97476
