Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.0245,5,10,0,10,45.5,0.1,-0,7.3094,1.1745,6.1594,10,0,10,56.0505,0.123188,-0,3,-1.9755,5,10,0,10,45.5,0.1,-0,3.8453,-1.9755,5.8453,10,0,10,53.1922,0.116906,-0,7,2.0245,5,10,0,10,45.5,0.1,-0,3.8453,-1.9755,5.8453,10,0,10,53.1922,0.116906,-0,0,0
0.05,5,0.07301,4.9755,10,1.26119,10,45.2771,0.19951,-1.078,7.3094,1.22301,6.1349,10,1.96419,10,55.8276,0.245886,-1.078,3,-1.92699,4.9755,10,1.26119,10,45.2771,0.19951,-1.078,3.8453,-1.92699,5.8208,10,1.50382,10,52.9693,0.233322,-1.078,7,2.07301,4.9755,10,1.26119,10,45.2771,0.19951,-1.078,3.8453,-1.92699,5.8208,10,1.50382,10,52.9693,0.233322,-1.078,0,0
0.1,5,0.14505,4.92699,10,1.46901,10,44.8356,0.29805,-2.13444,7.3094,1.29505,6.08639,10,2.25851,10,55.3862,0.367614,-2.13444,3,-1.85495,4.92699,10,1.46901,10,44.8356,0.29805,-2.13444,3.8453,-1.85495,5.77229,10,1.87881,10,52.5278,0.348768,-2.13444,7,2.14505,4.92699,10,1.46901,10,44.8356,0.29805,-2.13444,3.8453,-1.85495,5.77229,10,1.87881,10,52.5278,0.348768,-2.13444,0,0
0.15,5,0.240149,4.85495,10,1.5,10,44.18,0.395149,-3.16975,7.3094,1.39015,6.01435,10,2.00395,10,54.7306,0.487901,-3.16975,3,-1.75985,4.85495,10,1.5,10,44.18,0.395149,-3.16975,3.8453,-1.75985,5.70025,10,1.74612,10,51.8723,0.462773,-3.16975,7,2.24015,4.85495,10,1.5,10,44.18,0.395149,-3.16975,3.8453,-1.75985,5.70025,10,1.74612,10,51.8723,0.462773,-3.16975,0,0
0.2,5,0.357846,4.75985,10,1.5,10,43.3146,0.490346,-4.18436,7.3094,1.50785,5.91925,10,1.84938,10,53.8652,0.606286,-4.18436,3,-1.64215,4.75985,10,1.5,10,43.3146,0.490346,-4.18436,3.8453,-1.64215,5.60515,10,1.58763,10,51.0069,0.574876,-4.18436,7,2.35785,4.75985,10,1.5,10,43.3146,0.490346,-4.18436,3.8453,-1.64215,5.60515,10,1.58763,10,51.0069,0.574876,-4.18436,0,0
0.25,5,0.497689,4.64215,10,1.5,10,42.2436,0.583189,-5.17867,7.3094,1.64769,5.80156,10,1.7513,10,52.7942,0.722317,-5.17867,3,-1.50231,4.64215,10,1.5,10,42.2436,0.583189,-5.17867,3.8453,-1.50231,5.48745,10,1.5,10,49.9358,0.684625,-5.17867,7,2.49769,4.64215,10,1.5,10,42.2436,0.583189,-5.17867,3.8453,-1.50231,5.48745,10,1.5,10,49.9358,0.684625,-5.17867,0,0
0.3,5,0.659235,4.50231,10,1.5,10,40.971,0.673235,-6.1531,7.3094,1.80924,5.66171,10,1.63476,10,51.5216,0.835551,-6.1531,3,-1.34076,4.50231,10,1.5,10,40.971,0.673235,-6.1531,3.8453,-1.34076,5.34761,10,1.5,10,48.6633,0.791577,-6.1531,7,2.65924,4.50231,10,1.5,10,40.971,0.673235,-6.1531,3.8453,-1.34076,5.34761,10,1.5,10,48.6633,0.791577,-6.1531,0,0
0.35,5,0.84205,4.34076,10,1.5,10,39.501,0.76005,-7.10803,7.3094,1.99205,5.50017,10,1.50014,10,50.0515,0.945555,-7.10803,3,-1.15795,4.34076,10,1.5,10,39.501,0.76005,-7.10803,3.8453,-1.15795,5.18606,10,1.5,10,47.1932,0.895298,-7.10803,7,2.84205,4.34076,10,1.5,10,39.501,0.76005,-7.10803,3.8453,-1.15795,5.18606,10,1.5,10,47.1932,0.895298,-7.10803,0,0
0.4,5,1.04571,4.15795,10,1.5,10,37.8373,0.843209,-8.04387,7.3094,2.19571,5.31735,10,1.5,10,48.3879,1.0519,-8.04387,3,-0.954291,4.15795,10,1.5,10,37.8373,0.843209,-8.04387,3.8453,-0.954291,5.00325,10,1.5,10,45.5296,0.995363,-8.04387,7,3.04571,4.15795,10,1.5,10,37.8373,0.843209,-8.04387,3.8453,-0.954291,5.00325,10,1.5,10,45.5296,0.995363,-8.04387,0,0
0.45,5,1.2698,3.95429,10,1.5,10,35.984,0.922295,-8.961,7.3094,2.4198,5.11369,10,1.5,10,46.5346,1.15418,-8.961,3,-0.730205,3.95429,10,1.5,10,35.984,0.922295,-8.961,3.8453,-0.730205,4.79959,10,1.5,10,43.6763,1.09136,-8.961,7,3.2698,3.95429,10,1.5,10,35.984,0.922295,-8.961,3.8453,-0.730205,4.79959,10,1.5,10,43.6763,1.09136,-8.961,0,0
0.5,5,1.5139,3.7302,10,1.5,10,33.9449,0.996899,-9.85978,7.3094,2.6639,4.88961,10,1.5,10,44.4954,1.25197,-9.85978,3,-0.486101,3.7302,10,1.5,10,33.9449,0.996899,-9.85978,3.8453,-0.486101,4.5755,10,1.5,10,41.6371,1.18287,-9.85978,7,3.5139,3.7302,10,1.5,10,33.9449,0.996899,-9.85978,3.8453,-0.486101,4.5755,10,1.5,10,41.6371,1.18287,-9.85978,0,0
0.55,5,1.77762,3.4861,10,1.5,10,31.7235,1.06662,-10.7406,7.3094,2.92762,4.6455,10,1.5,10,42.2741,1.34488,-10.7406,3,-0.222379,3.4861,10,1.5,10,31.7235,1.06662,-10.7406,3.8453,-0.222379,4.3314,10,1.5,10,39.4157,1.26949,-10.7406,7,3.77762,3.4861,10,1.5,10,31.7235,1.06662,-10.7406,3.8453,-0.222379,4.3314,10,1.5,10,39.4157,1.26949,-10.7406,0,0
0.6,5,2.06057,3.22238,10,0.75,10,29.3236,1.13107,-11.6038,7.3094,3.21057,4.38178,10,0.75,10,39.8742,1.43251,-11.6038,3,0.0605689,3.22238,10,0.75,10,29.3236,1.13107,-11.6038,3.8453,0.0605689,4.06768,10,0.75,10,37.0159,1.35085,-11.6038,7,4.06057,3.22238,10,0.75,10,29.3236,1.13107,-11.6038,3.8453,0.0605689,4.06768,10,0.75,10,37.0159,1.35085,-11.6038,0,0
0.65,5,2.36236,2.93943,10,0.75,10,26.7488,1.18986,-12.4497,7.3094,3.51236,4.09883,10,0.75,10,37.2994,1.51449,-12.4497,3,0.362358,2.93943,10,0.75,10,26.7488,1.18986,-12.4497,3.8453,0.362358,3.78473,10,0.75,10,34.441,1.42654,-12.4497,7,4.36236,2.93943,10,0.75,10,26.7488,1.18986,-12.4497,3.8453,0.362358,3.78473,10,0.75,10,34.441,1.42654,-12.4497,0,0
0.7,5,2.68261,2.63764,10,0,10,24.0025,1.24261,-13.2787,7.3094,3.83261,3.79704,10,0,10,34.5531,1.59043,-13.2787,3,0.68261,2.63764,10,0,10,24.0025,1.24261,-13.2787,3.8453,0.68261,3.48294,10,0,10,31.6948,1.4962,-13.2787,7,4.68261,2.63764,10,0,10,24.0025,1.24261,-13.2787,3.8453,0.68261,3.48294,10,0,10,31.6948,1.4962,-13.2787,0,0
0.75,5,3.01676,2.31739,8.28608,0,8.28608,21.0882,1.28896,-14.0911,7.3094,4.17096,3.47679,10,0,10,31.6388,1.65997,-14.0911,3,1.01676,2.31739,8.28608,0,8.28608,21.0882,1.28896,-14.0911,3.8453,1.02096,3.16269,10,0,10,28.7805,1.55945,-14.0911,7,5.01676,2.31739,8.28608,0,8.28608,21.0882,1.28896,-14.0911,3.8453,1.02096,3.16269,10,0,10,28.7805,1.55945,-14.0911,0,0
0.8,5,3.35568,1.98324,4.67357,0,4.67357,18.0475,1.32862,-14.7025,7.3094,4.52704,3.13844,10,0,10,28.5598,1.72274,-14.8873,3,1.35568,1.98324,4.67357,0,4.67357,18.0475,1.32862,-14.7025,3.8453,1.37704,2.82434,10,0,10,25.7015,1.61594,-14.8873,7,5.35568,1.98324,4.67357,0,4.67357,18.0475,1.32862,-14.7025,3.8453,1.37704,2.82434,10,0,10,25.7015,1.61594,-14.8873,0,0
0.85,5,3.69127,1.64432,1.41256,0,1.41256,14.9634,1.36151,-14.9123,7.3094,4.9005,2.78236,10,0,10,25.3195,1.77838,-15.6676,3,1.69127,1.64432,1.41256,0,1.41256,14.9634,1.36151,-14.9123,3.8453,1.74672,2.46826,8.45892,0,8.45892,22.4612,1.66531,-15.6676,7,5.69127,1.64432,1.41256,0,1.41256,14.9634,1.36151,-14.9123,3.8453,1.74672,2.46826,8.45892,0,8.45892,22.4612,1.66531,-15.6676,0,0
0.9,5,4.01656,1.30873,-1.46924,0,-1.46924,11.9094,1.38768,-14.7663,7.3094,5.28441,2.4089,7.31537,0,7.31537,21.921,1.82656,-16.4322,3,2.01656,1.30873,-1.46924,0,-1.46924,11.9094,1.38768,-14.7663,3.8453,2.12013,2.09858,4.53825,0,4.53825,19.097,1.70728,-16.2661,7,6.01656,1.30873,-1.46924,0,-1.46924,11.9094,1.38768,-14.7663,3.8453,2.12013,2.09858,4.53825,0,4.53825,19.097,1.70728,-16.2661,0,0
0.95,5,4.32565,0.98344,-3.95597,0,-3.95597,8.9493,1.40735,-14.3126,7.3094,5.66898,2.02499,3.40231,0,3.40231,18.4274,1.86706,-16.8922,3,2.32565,0.98344,-3.95597,0,-3.95597,8.9493,1.40735,-14.3126,3.8453,2.48855,1.72517,1.01083,0,1.01083,15.699,1.74178,-16.43,7,6.32565,0.98344,-3.95597,0,-3.95597,8.9493,1.40735,-14.3126,3.8453,2.48855,1.72517,1.01083,0,1.01083,15.699,1.74178,-16.43,0,0
1,5,4.61375,0.674351,-6.04248,0,-6.04248,6.13659,1.42084,-13.5999,7.3094,6.04563,1.64042,-0.0933934,0,-0.0933934,14.9278,1.89987,-16.9211,3,2.61375,0.674351,-6.04248,0,-6.04248,6.13659,1.42084,-13.5999,3.8453,2.84446,1.35675,-2.09499,0,-2.09499,12.3464,1.76892,-16.2103,7,6.61375,0.674351,-6.04248,0,-6.04248,6.13659,1.42084,-13.5999,3.8453,2.84446,1.35675,-2.09499,0,-2.09499,12.3464,1.76892,-16.2103,0,0
1.05,5,4.87531,0.386248,-7.73312,-0.75,-8.48312,3.51485,1.42856,-12.6765,7.3094,6.40704,1.26377,-3.14714,0,-3.14714,11.5003,1.92514,-16.5726,3,2.87531,0.386248,-7.73312,-0.75,-8.48312,3.51485,1.42856,-12.6765,3.8453,3.18159,1.00084,-4.76377,0,-4.76377,9.1076,1.78893,-15.6603,7,6.87715,0.386248,-7.73312,0,-7.73312,3.51485,1.42856,-12.6765,3.8453,3.18159,1.00084,-4.76377,0,-4.76377,9.1076,1.78893,-15.6603,0,0
1.1,5,5.10789,0.12469,-8.94279,-0.75,-9.69279,1.13468,1.43106,-11.5085,7.3094,6.74713,0.902364,-5.74718,0,-5.74718,8.21151,1.94319,-15.9019,3,3.10789,0.12469,-8.94279,-0.75,-9.69279,1.13468,1.43106,-11.5085,3.8453,3.49484,0.663709,-6.9916,0,-6.9916,6.03975,1.80221,-14.8336,7,7.11129,0.122853,-9.04039,-0.75,-9.79039,1.11796,1.43102,-11.5894,3.8453,3.49484,0.663709,-6.9916,0,-6.9916,6.03975,1.80221,-14.8336,0,0
1.15,5,5.31132,-0.107889,-9.78636,-1.40927,-10,-0.981787,1.4289,-10.2335,7.3094,7.06109,0.562266,-7.89324,0,-7.89324,5.11662,1.95444,-14.9643,3,3.31132,-0.107889,-9.78636,-1.40927,-10,-0.981787,1.4289,-10.2335,3.8453,3.78031,0.350455,-8.78484,0,-8.78484,3.18914,1.80922,-13.7832,7,7.31625,-0.111288,-9.88611,-1.39882,-10,-1.01272,1.4288,-10.3022,3.8453,3.78031,0.350455,-8.78484,0,-8.78484,3.18914,1.80922,-13.7832,0,0
1.2,5,5.48617,-0.311316,-10,-1.403,-10,-2.83298,1.42267,-8.9508,7.3094,7.34526,0.248309,-9.59511,0,-9.59511,2.25961,1.9594,-13.8141,3,3.48617,-0.311316,-10,-1.403,-10,-2.83298,1.42267,-8.9508,3.8453,4.03557,0.0649881,-10,-0.75,-10,0.591392,1.81052,-12.5605,7,7.4926,-0.316246,-10,-1.39878,-10,-2.87783,1.42247,-9.01814,3.8453,4.03557,0.0649881,-10,-0.75,-10,0.591392,1.81052,-12.5605,0,0
1.25,5,5.63304,-0.486175,-10,-1.3697,-10,-4.42419,1.41295,-7.69379,7.3094,7.59925,-0.0358613,-10,-0.75,-10,-0.326338,1.95869,-12.5035,3,3.63304,-0.486175,-10,-1.3697,-10,-4.42419,1.41295,-7.69379,3.8453,4.26122,-0.190269,-10,-0.75,-10,-1.73145,1.80671,-11.2313,7,7.64094,-0.492604,-10,-1.36691,-10,-4.4827,1.41262,-7.75978,3.8453,4.26122,-0.190269,-10,-0.75,-10,-1.73145,1.80671,-11.2313,0,0
1.3,5,5.75246,-0.633037,-10,-1.29216,-10,-5.76063,1.40029,-6.46191,7.3094,7.82366,-0.289848,-10,-0.75,-10,-2.63762,1.95289,-11.1754,3,3.75246,-0.633037,-10,-1.29216,-10,-5.76063,1.40029,-6.46191,3.8453,4.45786,-0.415921,-10,-1.29363,-10,-3.78488,1.79839,-9.92869,7,7.7618,-0.640936,-10,-1.28699,-10,-5.83251,1.3998,-6.52658,3.8453,4.45786,-0.415921,-10,-1.29363,-10,-3.78488,1.79839,-9.92869,0,0
1.35,5,5.845,-0.752461,-10,-1.19763,-10,-6.84739,1.38524,-5.25467,7.3094,8.01907,-0.514255,-10,-1.26848,-10,-4.67972,1.9426,-9.87391,3,3.845,-0.752461,-10,-1.19763,-10,-6.84739,1.38524,-5.25467,3.8453,4.62607,-0.61256,-10,-1.305,-10,-5.5743,1.78614,-8.65211,7,7.85575,-0.7618,-10,-1.18842,-10,-6.93238,1.38456,-5.31805,3.8453,4.62607,-0.61256,-10,-1.305,-10,-5.5743,1.78614,-8.65211,0,0
1.4,5,5.91118,-0.844997,-10,-1.08915,-10,-7.68947,1.36834,-4.07158,7.3094,8.18609,-0.709674,-10,-1.236,-10,-6.45803,1.92841,-8.59843,3,3.91118,-0.844997,-10,-1.08915,-10,-7.68947,1.36834,-4.07158,3.8453,4.76641,-0.780766,-10,-1.16866,-10,-7.10497,1.77053,-7.40107,7,7.92332,-0.855748,-10,-1.07351,-10,-7.78731,1.36745,-4.13369,3.8453,4.76641,-0.780766,-10,-1.16866,-10,-7.10497,1.77053,-7.40107,0,0
1.45,5,5.95154,-0.911182,-9.85379,-0.912935,-10,-8.29176,1.35012,-2.91215,7.3094,8.32526,-0.876684,-10,-1.04072,-10,-7.97783,1.91088,-7.34846,3,3.95154,-0.911182,-9.85379,-0.912935,-10,-8.29176,1.35012,-2.91215,3.8453,4.87944,-0.921108,-10,-0.958648,-10,-8.38208,1.7521,-6.17505,7,7.96503,-0.923316,-10,-0.900971,-10,-8.40218,1.34898,-2.97302,3.8453,4.87944,-0.921108,-10,-0.958648,-10,-8.38208,1.7521,-6.17505,0,0
1.5,5,5.96708,-0.951544,-9.10387,-0.69905,-9.80291,-8.65905,1.33109,-1.77591,7.3094,8.43714,-1.01585,-10,-0.742031,-10,-9.24428,1.89056,-6.12349,3,3.96708,-0.951544,-9.10387,-0.69905,-9.80291,-8.65905,1.33109,-1.77591,3.8453,4.96572,-1.03414,-10,-0.732732,-10,-9.4107,1.73142,-4.97355,7,7.98152,-0.965034,-9.28768,-0.669024,-9.9567,-8.78181,1.32968,-1.83556,3.8453,4.96572,-1.03414,-10,-0.732732,-10,-9.4107,1.73142,-4.97355,0,0
1.55,5,5.96161,-0.967081,-8.17232,-0.276308,-8.44863,-8.80043,1.31174,-0.683633,7.3094,8.52229,-1.12774,-10,-0.683289,-10,-10.2624,1.868,-4.92302,3,3.96161,-0.967081,-8.17232,-0.276308,-8.44863,-8.80043,1.31174,-0.683633,3.8453,5.02577,-1.12042,-10,-0.687273,-10,-10.1958,1.70901,-3.79608,7,7.97678,-0.981522,-8.34731,-0.183481,-8.53079,-8.93185,1.31005,-0.725512,3.8453,5.02577,-1.12042,-10,-0.687273,-10,-10.1958,1.70901,-3.79608,0,0
1.6,5,5.93863,-0.961608,-7.21732,0.028099,-7.18922,-8.75063,1.29251,0.240802,7.3094,8.58124,-1.21289,-10,-0.635424,-10,-11.0373,1.84375,-3.74656,3,3.93863,-0.961608,-7.21732,0.028099,-7.18922,-8.75063,1.29251,0.240802,3.8453,5.06011,-1.18047,-10,-0.682588,-10,-10.7422,1.6854,-2.64216,7,7.95407,-0.976781,-7.38957,0.017986,-7.37159,-8.88871,1.29052,0.208618,3.8453,5.06011,-1.18047,-10,-0.682588,-10,-10.7422,1.6854,-2.64216,0,0
1.65,5,5.90103,-0.938631,-6.25682,0.10123,-6.15559,-8.54154,1.27374,1.01098,7.3094,8.61451,-1.27184,-10,-0.648378,-10,-11.5737,1.81831,-2.59363,3,3.90103,-0.938631,-6.25682,0.10123,-6.15559,-8.54154,1.27374,1.01098,3.8453,5.06928,-1.21481,-10,-0.659887,-10,-11.0548,1.66111,-1.51131,7,7.9163,-0.954074,-6.41154,0.0780492,-6.33349,-8.68208,1.27143,0.999103,3.8453,5.06928,-1.21481,-10,-0.659887,-10,-11.0548,1.66111,-1.51131,0,0
1.7,5,5.85172,-0.901032,-5.28934,0.202506,-5.08683,-8.1994,1.25572,1.65434,7.3094,8.62261,-1.3051,-10,-0.673742,-10,-11.8764,1.79221,-1.46376,3,3.85172,-0.901032,-5.28934,0.202506,-5.08683,-8.1994,1.25572,1.65434,3.8453,5.05375,-1.22398,-9.90464,-0.406955,-10,-11.1382,1.63663,-0.403087,7,7.86644,-0.916304,-5.42339,0.179264,-5.24413,-8.33837,1.25311,1.66187,3.8453,5.05375,-1.22398,-9.90464,-0.406955,-10,-11.1382,1.63663,-0.403087,0,0
