Kp,OvershootPercent,SettlingTime2Percent,Stability
0.5,39.0,N/A,Stable
0.8,46.9,N/A,Stable
1.0,52.1,14.3,Stable
1.2,56.0,N/A,Stable
1.5,59.0,N/A,Stable
1.8,61.4,N/A,Stable
2.0,63.4,14.5,Stable
2.2,64.7,N/A,Stable
2.5,65.2,14.9,Stable
2.8,65.1,N/A,Stable
3.0,64.7,N/A,Stable
3.2,64.2,14.9,Stable
3.5,63.8,N/A,Stable
3.8,63.4,N/A,Stable
4.0,63.2,N/A,Stable
4.2,63.0,14.8,Stable
4.5,62.8,N/A,Stable
4.8,62.6,N/A,Stable
5.0,62.6,N/A,Stable
5.2,62.4,15.0,Stable
5.5,62.3,14.7,Stable
5.8,62.3,N/A,Stable
6.0,62.2,N/A,Stable
6.2,62.2,N/A,Stable
6.5,62.1,N/A,Stable
6.8,62.0,14.8,Stable
7.0,61.9,14.6,Stable
7.2,61.9,N/A,Stable
7.5,61.9,N/A,Stable
7.8,62.0,N/A,Stable
8.0,62.1,N/A,Stable
8.2,62.0,14.9,Stable
8.5,61.9,14.7,Stable
8.8,61.8,N/A,Stable
9.0,61.7,N/A,Stable
9.2,61.6,N/A,Stable
9.5,61.6,N/A,Stable
9.8,61.7,N/A,Stable
10.0,61.7,15.0,Stable
10.2,61.8,14.9,Stable
10.5,61.8,14.8,Stable
10.8,61.9,14.6,Stable
11.0,61.9,N/A,Stable
11.2,61.9,N/A,Stable
11.5,62.0,N/A,Stable
11.8,61.9,N/A,Stable
12.0,61.8,N/A,Stable
12.2,61.8,15.0,Stable
12.5,61.7,14.9,Stable
12.8,61.6,14.8,Stable
13.0,61.5,14.7,Stable
13.2,61.4,N/A,Stable
13.5,61.4,N/A,Stable
13.8,61.4,N/A,Stable
14.0,61.5,N/A,Stable
14.2,61.5,N/A,Stable
14.5,61.5,N/A,Stable
14.8,61.5,N/A,Stable
15.0,61.5,15.0,Stable
15.2,61.5,14.9,Stable
15.5,61.6,14.8,Stable
15.8,61.6,14.8,Stable
16.0,61.6,14.7,Stable
16.2,61.6,N/A,Stable
16.5,61.6,N/A,Stable
16.8,61.7,N/A,Stable
17.0,61.7,N/A,Stable
17.2,61.7,N/A,Stable
17.5,61.7,N/A,Stable
17.8,61.7,N/A,Stable
18.0,61.7,N/A,Stable
18.2,61.7,15.0,Stable
18.5,61.8,14.9,Stable
18.8,61.8,14.9,Stable
19.0,61.8,14.8,Stable
19.2,61.8,14.8,Stable
19.5,61.8,14.7,Stable
19.8,61.8,14.7,Stable
20.0,61.8,N/A,Stable
20.2,61.9,N/A,Stable
20.5,61.9,N/A,Stable
20.8,61.9,N/A,Stable
21.0,61.9,N/A,Stable
21.2,61.9,N/A,Stable
21.5,61.9,N/A,Stable
21.8,61.9,N/A,Stable
22.0,61.9,N/A,Stable
22.2,61.9,15.0,Stable
22.5,61.9,14.9,Stable
22.8,61.8,14.9,Stable
23.0,61.8,14.9,Stable
23.2,61.7,14.8,Stable
23.5,61.7,14.8,Stable
23.8,61.6,14.8,Stable
24.0,61.5,14.7,Stable
24.2,61.5,N/A,Stable
24.5,61.4,N/A,Stable
24.8,61.4,N/A,Stable
25.0,61.3,N/A,Stable

Ku,Not found
Pu,Not found
