InputVar,SetName,CrispInput,LowerMu,UpperMu
error,NB,-12,0,0
error,NS,-12,0,0
error,PB,-12,0,0
error,PS,-12,0,0
error,ZE,-12,0,0
error,NB,-11.9,0,0
error,NS,-11.9,0,0
error,PB,-11.9,0,0
error,PS,-11.9,0,0
error,ZE,-11.9,0,0
error,NB,-11.8,0,0
error,NS,-11.8,0,0
error,PB,-11.8,0,0
error,PS,-11.8,0,0
error,ZE,-11.8,0,0
error,NB,-11.7,0,0
error,NS,-11.7,0,0
error,PB,-11.7,0,0
error,PS,-11.7,0,0
error,ZE,-11.7,0,0
error,NB,-11.6,0,0
error,NS,-11.6,0,0
error,PB,-11.6,0,0
error,PS,-11.6,0,0
error,ZE,-11.6,0,0
error,NB,-11.5,0,0
error,NS,-11.5,0,0
error,PB,-11.5,0,0
error,PS,-11.5,0,0
error,ZE,-11.5,0,0
error,NB,-11.4,0,0
error,NS,-11.4,0,0
error,PB,-11.4,0,0
error,PS,-11.4,0,0
error,ZE,-11.4,0,0
error,NB,-11.3,0,0
error,NS,-11.3,0,0
error,PB,-11.3,0,0
error,PS,-11.3,0,0
error,ZE,-11.3,0,0
error,NB,-11.2,0,0
error,NS,-11.2,0,0
error,PB,-11.2,0,0
error,PS,-11.2,0,0
error,ZE,-11.2,0,0
error,NB,-11.1,0,0
error,NS,-11.1,0,0
error,PB,-11.1,0,0
error,PS,-11.1,0,0
error,ZE,-11.1,0,0
error,NB,-11,0,0
error,NS,-11,0,0
error,PB,-11,0,0
error,PS,-11,0,0
error,ZE,-11,0,0
error,NB,-10.9,0,0.04
error,NS,-10.9,0,0
error,PB,-10.9,0,0
error,PS,-10.9,0,0
error,ZE,-10.9,0,0
error,NB,-10.8,0,0.08
error,NS,-10.8,0,0
error,PB,-10.8,0,0
error,PS,-10.8,0,0
error,ZE,-10.8,0,0
error,NB,-10.7,0,0.12
error,NS,-10.7,0,0
error,PB,-10.7,0,0
error,PS,-10.7,0,0
error,ZE,-10.7,0,0
error,NB,-10.6,0,0.16
error,NS,-10.6,0,0
error,PB,-10.6,0,0
error,PS,-10.6,0,0
error,ZE,-10.6,0,0
error,NB,-10.5,0,0.2
error,NS,-10.5,0,0
error,PB,-10.5,0,0
error,PS,-10.5,0,0
error,ZE,-10.5,0,0
error,NB,-10.4,0,0.24
error,NS,-10.4,0,0
error,PB,-10.4,0,0
error,PS,-10.4,0,0
error,ZE,-10.4,0,0
error,NB,-10.3,0,0.28
error,NS,-10.3,0,0
error,PB,-10.3,0,0
error,PS,-10.3,0,0
error,ZE,-10.3,0,0
error,NB,-10.2,0,0.32
error,NS,-10.2,0,0
error,PB,-10.2,0,0
error,PS,-10.2,0,0
error,ZE,-10.2,0,0
error,NB,-10.1,0,0.36
error,NS,-10.1,0,0
error,PB,-10.1,0,0
error,PS,-10.1,0,0
error,ZE,-10.1,0,0
error,NB,-10,0,0.4
error,NS,-10,0,0
error,PB,-10,0,0
error,PS,-10,0,0
error,ZE,-10,0,0
error,NB,-9.9,0.05,0.44
error,NS,-9.9,0,0
error,PB,-9.9,0,0
error,PS,-9.9,0,0
error,ZE,-9.9,0,0
error,NB,-9.8,0.1,0.48
error,NS,-9.8,0,0
error,PB,-9.8,0,0
error,PS,-9.8,0,0
error,ZE,-9.8,0,0
error,NB,-9.7,0.15,0.52
error,NS,-9.7,0,0
error,PB,-9.7,0,0
error,PS,-9.7,0,0
error,ZE,-9.7,0,0
error,NB,-9.6,0.2,0.56
error,NS,-9.6,0,0
error,PB,-9.6,0,0
error,PS,-9.6,0,0
error,ZE,-9.6,0,0
error,NB,-9.5,0.25,0.6
error,NS,-9.5,0,0
error,PB,-9.5,0,0
error,PS,-9.5,0,0
error,ZE,-9.5,0,0
error,NB,-9.4,0.3,0.64
error,NS,-9.4,0,0
error,PB,-9.4,0,0
error,PS,-9.4,0,0
error,ZE,-9.4,0,0
error,NB,-9.3,0.35,0.68
error,NS,-9.3,0,0
error,PB,-9.3,0,0
error,PS,-9.3,0,0
error,ZE,-9.3,0,0
error,NB,-9.2,0.4,0.72
error,NS,-9.2,0,0
error,PB,-9.2,0,0
error,PS,-9.2,0,0
error,ZE,-9.2,0,0
error,NB,-9.1,0.45,0.76
error,NS,-9.1,0,0
error,PB,-9.1,0,0
error,PS,-9.1,0,0
error,ZE,-9.1,0,0
error,NB,-9,0.5,0.8
error,NS,-9,0,0
error,PB,-9,0,0
error,PS,-9,0,0
error,ZE,-9,0,0
error,NB,-8.9,0.55,0.84
error,NS,-8.9,0,0
error,PB,-8.9,0,0
error,PS,-8.9,0,0
error,ZE,-8.9,0,0
error,NB,-8.8,0.6,0.88
error,NS,-8.8,0,0
error,PB,-8.8,0,0
error,PS,-8.8,0,0
error,ZE,-8.8,0,0
error,NB,-8.7,0.65,0.92
error,NS,-8.7,0,0
error,PB,-8.7,0,0
error,PS,-8.7,0,0
error,ZE,-8.7,0,0
error,NB,-8.6,0.7,0.96
error,NS,-8.6,0,0
error,PB,-8.6,0,0
error,PS,-8.6,0,0
error,ZE,-8.6,0,0
error,NB,-8.5,0.75,1
error,NS,-8.5,0,0
error,PB,-8.5,0,0
error,PS,-8.5,0,0
error,ZE,-8.5,0,0
error,NB,-8.4,0.8,0.966667
error,NS,-8.4,0,0
error,PB,-8.4,0,0
error,PS,-8.4,0,0
error,ZE,-8.4,0,0
error,NB,-8.3,0.85,0.933333
error,NS,-8.3,0,0
error,PB,-8.3,0,0
error,PS,-8.3,0,0
error,ZE,-8.3,0,0
error,NB,-8.2,0.9,0.9
error,NS,-8.2,0,0
error,PB,-8.2,0,0
error,PS,-8.2,0,0
error,ZE,-8.2,0,0
error,NB,-8.1,0.866667,0.866667
error,NS,-8.1,0,0
error,PB,-8.1,0,0
error,PS,-8.1,0,0
error,ZE,-8.1,0,0
error,NB,-8,0.833333,0.833333
error,NS,-8,0,0
error,PB,-8,0,0
error,PS,-8,0,0
error,ZE,-8,0,0
error,NB,-7.9,0.8,0.8
error,NS,-7.9,0,0.0285714
error,PB,-7.9,0,0
error,PS,-7.9,0,0
error,ZE,-7.9,0,0
error,NB,-7.8,0.766667,0.766667
error,NS,-7.8,0,0.0571429
error,PB,-7.8,0,0
error,PS,-7.8,0,0
error,ZE,-7.8,0,0
error,NB,-7.7,0.733333,0.733333
error,NS,-7.7,0,0.0857143
error,PB,-7.7,0,0
error,PS,-7.7,0,0
error,ZE,-7.7,0,0
error,NB,-7.6,0.7,0.7
error,NS,-7.6,0,0.114286
error,PB,-7.6,0,0
error,PS,-7.6,0,0
error,ZE,-7.6,0,0
error,NB,-7.5,0.666667,0.666667
error,NS,-7.5,0,0.142857
error,PB,-7.5,0,0
error,PS,-7.5,0,0
error,ZE,-7.5,0,0
error,NB,-7.4,0.633333,0.633333
error,NS,-7.4,0,0.171429
error,PB,-7.4,0,0
error,PS,-7.4,0,0
error,ZE,-7.4,0,0
error,NB,-7.3,0.6,0.6
error,NS,-7.3,0,0.2
error,PB,-7.3,0,0
error,PS,-7.3,0,0
error,ZE,-7.3,0,0
error,NB,-7.2,0.566667,0.566667
error,NS,-7.2,0,0.228571
error,PB,-7.2,0,0
error,PS,-7.2,0,0
error,ZE,-7.2,0,0
error,NB,-7.1,0.533333,0.533333
error,NS,-7.1,0,0.257143
error,PB,-7.1,0,0
error,PS,-7.1,0,0
error,ZE,-7.1,0,0
error,NB,-7,0.5,0.5
error,NS,-7,0,0.285714
error,PB,-7,0,0
error,PS,-7,0,0
error,ZE,-7,0,0
error,NB,-6.9,0.45,0.466667
error,NS,-6.9,0.0333333,0.314286
error,PB,-6.9,0,0
error,PS,-6.9,0,0
error,ZE,-6.9,0,0
error,NB,-6.8,0.4,0.433333
error,NS,-6.8,0.0666667,0.342857
error,PB,-6.8,0,0
error,PS,-6.8,0,0
error,ZE,-6.8,0,0
error,NB,-6.7,0.35,0.4
error,NS,-6.7,0.1,0.371429
error,PB,-6.7,0,0
error,PS,-6.7,0,0
error,ZE,-6.7,0,0
error,NB,-6.6,0.3,0.366667
error,NS,-6.6,0.133333,0.4
error,PB,-6.6,0,0
error,PS,-6.6,0,0
error,ZE,-6.6,0,0
error,NB,-6.5,0.25,0.333333
error,NS,-6.5,0.166667,0.428571
error,PB,-6.5,0,0
error,PS,-6.5,0,0
error,ZE,-6.5,0,0
error,NB,-6.4,0.2,0.3
error,NS,-6.4,0.2,0.457143
error,PB,-6.4,0,0
error,PS,-6.4,0,0
error,ZE,-6.4,0,0
error,NB,-6.3,0.15,0.266667
error,NS,-6.3,0.233333,0.485714
error,PB,-6.3,0,0
error,PS,-6.3,0,0
error,ZE,-6.3,0,0
error,NB,-6.2,0.1,0.233333
error,NS,-6.2,0.266667,0.514286
error,PB,-6.2,0,0
error,PS,-6.2,0,0
error,ZE,-6.2,0,0
error,NB,-6.1,0.05,0.2
error,NS,-6.1,0.3,0.542857
error,PB,-6.1,0,0
error,PS,-6.1,0,0
error,ZE,-6.1,0,0
error,NB,-6,1.06581e-14,0.166667
error,NS,-6,0.333333,0.571429
error,PB,-6,0,0
error,PS,-6,0,0
error,ZE,-6,0,0
error,NB,-5.9,0,0.133333
error,NS,-5.9,0.366667,0.6
error,PB,-5.9,0,0
error,PS,-5.9,0,0
error,ZE,-5.9,0,0
error,NB,-5.8,0,0.1
error,NS,-5.8,0.4,0.628571
error,PB,-5.8,0,0
error,PS,-5.8,0,0
error,ZE,-5.8,0,0
error,NB,-5.7,0,0.0666667
error,NS,-5.7,0.433333,0.657143
error,PB,-5.7,0,0
error,PS,-5.7,0,0
error,ZE,-5.7,0,0
error,NB,-5.6,0,0.0333333
error,NS,-5.6,0.466667,0.685714
error,PB,-5.6,0,0
error,PS,-5.6,0,0
error,ZE,-5.6,0,0
error,NB,-5.5,0,7.69755e-15
error,NS,-5.5,0.5,0.714286
error,PB,-5.5,0,0
error,PS,-5.5,0,0
error,ZE,-5.5,0,0
error,NB,-5.4,0,0
error,NS,-5.4,0.533333,0.742857
error,PB,-5.4,0,0
error,PS,-5.4,0,0
error,ZE,-5.4,0,0
error,NB,-5.3,0,0
error,NS,-5.3,0.566667,0.771429
error,PB,-5.3,0,0
error,PS,-5.3,0,0
error,ZE,-5.3,0,0
error,NB,-5.2,0,0
error,NS,-5.2,0.6,0.8
error,PB,-5.2,0,0
error,PS,-5.2,0,0
error,ZE,-5.2,0,0
error,NB,-5.1,0,0
error,NS,-5.1,0.633333,0.828571
error,PB,-5.1,0,0
error,PS,-5.1,0,0
error,ZE,-5.1,0,0
error,NB,-5,0,0
error,NS,-5,0.666667,0.857143
error,PB,-5,0,0
error,PS,-5,0,0
error,ZE,-5,0,0
error,NB,-4.9,0,0
error,NS,-4.9,0.7,0.885714
error,PB,-4.9,0,0
error,PS,-4.9,0,0
error,ZE,-4.9,0,0
error,NB,-4.8,0,0
error,NS,-4.8,0.733333,0.914286
error,PB,-4.8,0,0
error,PS,-4.8,0,0
error,ZE,-4.8,0,0
error,NB,-4.7,0,0
error,NS,-4.7,0.766667,0.942857
error,PB,-4.7,0,0
error,PS,-4.7,0,0
error,ZE,-4.7,0,0
error,NB,-4.6,0,0
error,NS,-4.6,0.8,0.971429
error,PB,-4.6,0,0
error,PS,-4.6,0,0
error,ZE,-4.6,0,0
error,NB,-4.5,0,0
error,NS,-4.5,0.833333,1
error,PB,-4.5,0,0
error,PS,-4.5,0,0
error,ZE,-4.5,0,0
error,NB,-4.4,0,0
error,NS,-4.4,0.866667,0.977778
error,PB,-4.4,0,0
error,PS,-4.4,0,0
error,ZE,-4.4,0,0
error,NB,-4.3,0,0
error,NS,-4.3,0.9,0.955556
error,PB,-4.3,0,0
error,PS,-4.3,0,0
error,ZE,-4.3,0,0
error,NB,-4.2,0,0
error,NS,-4.2,0.933333,0.933333
error,PB,-4.2,0,0
error,PS,-4.2,0,0
error,ZE,-4.2,0,0
error,NB,-4.1,0,0
error,NS,-4.1,0.911111,0.911111
error,PB,-4.1,0,0
error,PS,-4.1,0,0
error,ZE,-4.1,0,0
error,NB,-4,0,0
error,NS,-4,0.888889,0.888889
error,PB,-4,0,0
error,PS,-4,0,0
error,ZE,-4,0,0
error,NB,-3.9,0,0
error,NS,-3.9,0.866667,0.866667
error,PB,-3.9,0,0
error,PS,-3.9,0,0
error,ZE,-3.9,0,0
error,NB,-3.8,0,0
error,NS,-3.8,0.844444,0.844444
error,PB,-3.8,0,0
error,PS,-3.8,0,0
error,ZE,-3.8,0,0
error,NB,-3.7,0,0
error,NS,-3.7,0.822222,0.822222
error,PB,-3.7,0,0
error,PS,-3.7,0,0
error,ZE,-3.7,0,0
error,NB,-3.6,0,0
error,NS,-3.6,0.8,0.8
error,PB,-3.6,0,0
error,PS,-3.6,0,0
error,ZE,-3.6,0,0
error,NB,-3.5,0,0
error,NS,-3.5,0.777778,0.777778
error,PB,-3.5,0,0
error,PS,-3.5,0,0
error,ZE,-3.5,0,0
error,NB,-3.4,0,0
error,NS,-3.4,0.755556,0.755556
error,PB,-3.4,0,0
error,PS,-3.4,0,0
error,ZE,-3.4,0,0
error,NB,-3.3,0,0
error,NS,-3.3,0.733333,0.733333
error,PB,-3.3,0,0
error,PS,-3.3,0,0
error,ZE,-3.3,0,0
error,NB,-3.2,0,0
error,NS,-3.2,0.711111,0.711111
error,PB,-3.2,0,0
error,PS,-3.2,0,0
error,ZE,-3.2,0,0
error,NB,-3.1,0,0
error,NS,-3.1,0.688889,0.688889
error,PB,-3.1,0,0
error,PS,-3.1,0,0
error,ZE,-3.1,0,0
error,NB,-3,0,0
error,NS,-3,0.666667,0.666667
error,PB,-3,0,0
error,PS,-3,0,0
error,ZE,-3,0,0
error,NB,-2.9,0,0
error,NS,-2.9,0.633333,0.644444
error,PB,-2.9,0,0
error,PS,-2.9,0,0
error,ZE,-2.9,0,0
error,NB,-2.8,0,0
error,NS,-2.8,0.6,0.622222
error,PB,-2.8,0,0
error,PS,-2.8,0,0
error,ZE,-2.8,0,0
error,NB,-2.7,0,0
error,NS,-2.7,0.566667,0.6
error,PB,-2.7,0,0
error,PS,-2.7,0,0
error,ZE,-2.7,0,0
error,NB,-2.6,0,0
error,NS,-2.6,0.533333,0.577778
error,PB,-2.6,0,0
error,PS,-2.6,0,0
error,ZE,-2.6,0,0
error,NB,-2.5,0,0
error,NS,-2.5,0.5,0.555556
error,PB,-2.5,0,0
error,PS,-2.5,0,0
error,ZE,-2.5,0,0
error,NB,-2.4,0,0
error,NS,-2.4,0.466667,0.533333
error,PB,-2.4,0,0
error,PS,-2.4,0,0
error,ZE,-2.4,0,0
error,NB,-2.3,0,0
error,NS,-2.3,0.433333,0.511111
error,PB,-2.3,0,0
error,PS,-2.3,0,0
error,ZE,-2.3,0,0
error,NB,-2.2,0,0
error,NS,-2.2,0.4,0.488889
error,PB,-2.2,0,0
error,PS,-2.2,0,0
error,ZE,-2.2,0,0
error,NB,-2.1,0,0
error,NS,-2.1,0.366667,0.466667
error,PB,-2.1,0,0
error,PS,-2.1,0,0
error,ZE,-2.1,0,0
error,NB,-2,0,0
error,NS,-2,0.333333,0.444444
error,PB,-2,0,0
error,PS,-2,0,0
error,ZE,-2,0,0
error,NB,-1.9,0,0
error,NS,-1.9,0.3,0.422222
error,PB,-1.9,0,0
error,PS,-1.9,0,0
error,ZE,-1.9,0,0.05
error,NB,-1.8,0,0
error,NS,-1.8,0.266667,0.4
error,PB,-1.8,0,0
error,PS,-1.8,0,0
error,ZE,-1.8,0,0.1
error,NB,-1.7,0,0
error,NS,-1.7,0.233333,0.377778
error,PB,-1.7,0,0
error,PS,-1.7,0,0
error,ZE,-1.7,0,0.15
error,NB,-1.6,0,0
error,NS,-1.6,0.2,0.355556
error,PB,-1.6,0,0
error,PS,-1.6,0,0
error,ZE,-1.6,0,0.2
error,NB,-1.5,0,0
error,NS,-1.5,0.166667,0.333333
error,PB,-1.5,0,0
error,PS,-1.5,0,0
error,ZE,-1.5,0,0.25
error,NB,-1.4,0,0
error,NS,-1.4,0.133333,0.311111
error,PB,-1.4,0,0
error,PS,-1.4,0,0
error,ZE,-1.4,0,0.3
error,NB,-1.3,0,0
