Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.00833333,5,10,0,10,15.5,0,-0,7.3094,1.15833,6.1594,10,0,10,19.0941,0,-0,3,-1.99167,5,10,0,10,15.5,0,-0,3.8453,-1.99167,5.8453,10,0,10,18.1204,0,-0,7,2.00833,5,10,0,10,15.5,0,-0,3.8453,-1.99167,5.8453,10,0,10,18.1204,0,-0,0,0
0.05,5,0.030549,4.99167,10,0,10,15.4742,-2.75,-0.366667,7.3094,1.18055,6.15107,10,0,10,19.0683,-4.54707,-0.366667,3,-1.96945,4.99167,10,0,10,15.4742,-2.75,-0.366667,3.8453,-1.96945,5.83697,10,0,10,18.0946,-4.06021,-0.366667,7,2.03055,4.99167,10,0,10,15.4742,-2.75,-0.366667,3.8453,-1.96945,5.83697,10,0,10,18.0946,-4.06021,-0.366667,0,0
0.1,5,0.0703107,4.96945,10,0,10,15.4053,-3.92875,-0.97749,7.3094,1.22031,6.12885,10,0,10,18.9994,-6.62436,-0.97749,3,-1.92969,4.96945,10,0,10,15.4053,-3.92875,-0.97749,3.8453,-1.92969,5.81475,10,0,10,18.0257,-5.89407,-0.97749,7,2.07031,4.96945,10,0,10,15.4053,-3.92875,-0.97749,3.8453,-1.92969,5.81475,10,0,10,18.0257,-5.89407,-0.97749,0,0
0.15,5,0.129529,4.92969,9.45283,0,9.45283,15.282,-4.07969,-1.74952,7.3094,1.27992,6.08909,9.92529,0,9.92529,18.8762,-7.20137,-1.74952,3,-1.87047,4.92969,9.45283,0,9.45283,15.282,-4.07969,-1.74952,3.8453,-1.87018,5.77499,9.79729,0,9.79729,17.9025,-6.35565,-1.74952,7,2.12953,4.92969,9.45283,0,9.45283,15.282,-4.07969,-1.74952,3.8453,-1.87018,5.77499,9.79729,0,9.79729,17.9025,-6.35565,-1.74952,0,0
0.2,5,0.208579,4.87047,8.51057,0,8.51057,15.0985,-3.98228,-2.60561,7.3094,1.36002,6.02948,8.98766,0,8.98766,18.6914,-7.08078,-2.62293,3,-1.79142,4.87047,8.51057,0,8.51057,15.0985,-3.98228,-2.60561,3.8453,-1.79037,5.71548,8.85841,0,8.85841,17.718,-6.24134,-2.61824,7,2.20858,4.87047,8.51057,0,8.51057,15.0985,-3.98228,-2.60561,3.8453,-1.79037,5.71548,8.85841,0,8.85841,17.718,-6.24134,-2.61824,0,0
0.25,5,0.306717,4.79142,7.48879,0,7.48879,14.8534,-3.88645,-3.47817,7.3094,1.46004,5.94938,7.95683,0,7.95683,18.4431,-6.9618,-3.52444,3,-1.69328,4.79142,7.48877,0,7.48877,14.8534,-3.88645,-3.47818,3.8453,-1.69086,5.63567,7.83002,0,7.83002,17.4706,-6.12863,-3.51192,7,2.30672,4.79142,7.48877,0,7.48877,14.8534,-3.88645,-3.47818,3.8453,-1.69086,5.63567,7.83002,0,7.83002,17.4706,-6.12863,-3.51192,0,0
0.3,5,0.422426,4.69328,6.43849,0,6.43849,14.5492,-3.79258,-4.3181,7.3094,1.57853,5.84936,6.88767,0,6.88767,18.133,-6.84481,-4.40055,3,-1.57757,4.69328,6.43843,0,6.43843,14.5492,-3.79258,-4.31816,3.8453,-1.57312,5.53616,6.76592,0,6.76592,17.1621,-6.01791,-4.37827,7,2.42243,4.69328,6.43843,0,6.43843,14.5492,-3.79258,-4.31816,3.8453,-1.57312,5.53616,6.76592,0,6.76592,17.1621,-6.01791,-4.37827,0,0
0.35,5,0.553681,4.57757,5.39825,0,5.39825,14.1905,-3.70103,-5.0912,7.3094,1.71351,5.73087,5.82182,0,5.82182,17.7657,-6.73019,-5.21369,3,-1.44631,4.57757,5.39808,0,5.39808,14.1905,-3.70103,-5.09135,3.8453,-1.43914,5.41842,5.70689,0,5.70689,16.7971,-5.90954,-5.18066,7,2.55369,4.57757,5.39808,0,5.39808,14.1905,-3.70103,-5.09135,3.8453,-1.43914,5.41842,5.70689,0,5.70689,16.7971,-5.90954,-5.18066,0,0
0.4,5,0.698167,4.44632,4.39628,0,4.39628,13.7836,-3.6121,-5.7752,7.3094,1.86265,5.59589,4.78991,0,4.78991,17.3473,-6.61827,-5.93909,3,-1.30181,4.44631,4.39591,0,4.39591,13.7835,-3.6121,-5.77554,3.8453,-1.29125,5.28444,4.68289,0,4.68289,16.3818,-5.80385,-5.89503,7,2.69819,4.44631,4.39591,0,4.39591,13.7835,-3.6121,-5.77554,3.8453,-1.29125,5.28444,4.68289,0,4.68289,16.3818,-5.80385,-5.89503,0,0
0.45,5,0.853449,4.30183,3.45222,0,3.45222,13.3357,-3.52607,-6.35739,7.3094,2.02347,5.44675,3.81345,0,3.81345,16.8849,-6.50934,-6.56215,3,-1.1465,4.30181,3.45156,0,3.45156,13.3356,-3.52607,-6.35798,3.8453,-1.13191,5.13655,3.71491,0,3.71491,15.9233,-5.70112,-6.50727,7,2.8535,4.30181,3.45156,0,3.45156,13.3356,-3.52607,-6.35798,3.8453,-1.13191,5.13655,3.71491,0,3.71491,15.9233,-5.70112,-6.50727,0,0
0.5,5,1.0171,4.14655,2.57875,0,2.57875,12.8543,-3.44314,-6.83242,7.3094,2.19348,5.28593,2.90656,0,2.90656,16.3864,-6.40362,-7.07621,3,-0.982826,4.1465,2.57769,0,2.57769,12.8542,-3.44314,-6.83333,3.8453,-0.963586,4.97721,2.81667,0,2.81667,15.4293,-5.60158,-7.01109,7,3.01717,4.1465,2.57769,0,2.57769,12.8542,-3.44314,-6.83333,3.8453,-0.963586,4.97721,2.81667,0,2.81667,15.4293,-5.60158,-7.01109,0,0
0.55,5,1.18678,3.9829,1.78302,0,1.78302,12.347,-3.36348,-7.2005,7.3094,2.37028,5.11592,2.07746,0,2.07746,15.8593,-6.3013,-7.48058,3,-0.813107,3.98283,1.78147,0,1.78147,12.3468,-3.36348,-7.20181,3.8453,-0.788678,4.80889,1.9961,0,1.9961,14.9075,-5.5054,-7.40605,7,3.18689,3.98283,1.78147,0,1.78147,12.3468,-3.36348,-7.20181,3.8453,-0.788678,4.80889,1.9961,0,1.9961,14.9075,-5.5054,-7.40605,0,0
0.6,5,1.36031,3.81322,1.0679,0,1.0679,11.821,-3.28721,-7.46588,7.3094,2.5516,4.93912,1.32979,0,1.32979,15.3113,-6.20252,-7.77897,3,-0.639522,3.81311,1.06577,0,1.06577,11.8206,-3.28722,-7.46764,3.8453,-0.609416,4.63398,1.25666,0,1.25666,14.3653,-5.41272,-7.69595,7,3.36048,3.81311,1.06577,0,1.06577,11.8206,-3.28722,-7.46764,3.8453,-0.609416,4.63398,1.25666,0,1.25666,14.3653,-5.41272,-7.69595,0,0
0.65,5,1.53572,3.63969,0.433117,0,0.433117,11.283,-3.21442,-7.6355,7.3094,2.73538,4.7578,0.663805,0,0.663805,14.7492,-6.10736,-7.97802,3,-0.46405,3.63952,0.430332,0,0.430332,11.2825,-3.21443,-7.63776,3.8453,-0.42784,4.45472,0.598451,0,0.598451,13.8096,-5.32362,-7.88754,7,3.53595,3.63952,0.430332,0,0.430332,11.2825,-3.21443,-7.63776,3.8453,-0.42784,4.45472,0.598451,0,0.598451,13.8096,-5.32362,-7.88754,0,0
